DLiP-ID,T003AM
DLiP-Mol-ID,19987
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H15N5O/c1-2-16-8-6-4-3-5-7(8)14-10(13)15-9(11)12/h3-6H,2H2,1H3,(H6,11,12,13,14,15)"
Standard Inchi Key(RDKit),KRWFGEYBAWMPBG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccccc1NC(=N)NC(=N)N
SMILES(SDF),
MW(SDF),
MW(RDKit),221.264
MW Monoisotopic(RDKit),221.1276601
MolLogP(RDKit),0.91504
XLogP(SDF),
XLogP(CDK),1.899
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),107.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.386073311417973
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3326.1375992009425
qed,0.38607331141797263
Chi0,11.966255326250886
Chi1,7.6302289553358
TPSA,107.01
Chi0n,9.00210641759854
Chi0v,9.00210641759854
Chi1n,4.815931464797732
Chi1v,4.815931464797732
Chi2n,2.9678472539860596
Chi2v,2.9678472539860596
Chi3n,1.7062385525507118
Chi3v,1.7062385525507118
Chi4n,1.15186463272597
Chi4v,1.15186463272597
MolMR,64.01020000000001
MolWt,221.264
fr_SH,0
Kappa1,11.832674418604652
Kappa2,5.594733382030681
Kappa3,3.4870484682587826
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,390.5507082453122
MolLogP,0.9150399999999999
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.71699348086062
SMR_VSA1,4.736862953800049
SMR_VSA2,10.818567211583044
SMR_VSA3,5.316788604006331
SMR_VSA4,5.733667477162185
SMR_VSA5,6.923737199690624
SMR_VSA6,11.923670568519249
SMR_VSA7,24.26546827384644
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,93.81503386934865
NHOHCount,6
PEOE_VSA1,15.787319034968565
PEOE_VSA2,16.135355815589374
PEOE_VSA3,0.0
