DLiP-ID,C001XU
DLiP-Mol-ID,26879
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H22N4O3S/c28-19(24-13-16-9-6-12-30-16)14-31-23-26-20-17-10-4-5-11-18(17)25-21(20)22(29)27(23)15-7-2-1-3-8-15/h1-5,7-8,10-11,16,29H,6,9,12-14H2,(H,24,28)"
Standard Inchi Key(RDKit),YLHMMMRFMWSQHB-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CSc1nc2c3ccccc3nc-2c(O)n1-c1ccccc1)NCC1CCCO1
SMILES(SDF),
MW(SDF),
MW(RDKit),434.521
MW Monoisotopic(RDKit),434.141261564
MolLogP(RDKit),3.6182
XLogP(SDF),
XLogP(CDK),4.6
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),89.27
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.355943726981992
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,26091006.49717653
qed,0.3559437269819917
Chi0,21.20853153444066
Chi1,15.20350993820667
TPSA,89.27
Chi0n,16.822635851220422
Chi0v,17.639132432148145
Chi1n,10.271792435875696
Chi1v,11.257390995529185
Chi2n,7.4428899061788245
Chi2v,8.38538854703856
Chi3n,5.335716802742512
Chi3v,6.274303236034825
Chi4n,3.8042984944743896
Chi4v,4.643368251783511
MolMR,119.8595
MolWt,434.52100000000024
fr_SH,0
Kappa1,19.839348080305815
Kappa2,8.564981654729186
Kappa3,3.9596935904710557
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1188.335414988632
MolLogP,3.6182000000000016
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.4806621062616339
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,19.8518452936921
SMR_VSA4,0.0
SMR_VSA5,24.10204611542103
SMR_VSA6,18.90449197717228
SMR_VSA7,54.59730361615449
SMR_VSA8,0.0
SMR_VSA9,22.955230600815852
fr_Al_OH,0
