DLiP-ID,T000VX
DLiP-Mol-ID,16630
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H23NO3/c1-3-11-24-16-10-9-15(20(14-16)25-12-4-2)13-18-17-7-5-6-8-19(17)22-21(18)23/h5-10,13-14H,3-4,11-12H2,1-2H3,(H,22,23)/b18-13+"
Standard Inchi Key(RDKit),CODRRTHDNKXPKO-QGOAFFKASA-N
Canonical SMILES(RDKit),CCCOc1ccc(/C=C2/C(=O)Nc3ccccc32)c(OCCC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),337.419
MW Monoisotopic(RDKit),337.167793596
MolLogP(RDKit),4.7569
XLogP(SDF),
XLogP(CDK),4.493
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),47.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.741283514729389
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,666930.853406409
qed,0.7412835147293887
Chi0,17.6480536021256
Chi1,12.223876650462413
TPSA,47.56
Chi0n,14.671974149654789
Chi0v,14.671974149654789
Chi1n,8.746670677350352
Chi1v,8.746670677350352
Chi2n,5.954276453231071
Chi2v,5.954276453231071
Chi3n,3.929471626256731
Chi3v,3.929471626256731
Chi4n,2.7183963140339884
Chi4v,2.7183963140339884
MolMR,100.95670000000005
MolWt,337.41900000000015
fr_SH,0
Kappa1,17.085370390052077
Kappa2,7.881805076601277
