DLiP-ID,C002WG
DLiP-Mol-ID,32925
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H12N2O2S/c1-2-11(16)14-13-15-12-8-5-3-4-6-9(8)17-7-10(12)18-13/h3-6H,2,7H2,1H3,(H,14,15,16)"
Standard Inchi Key(RDKit),CNAONHVMWGGOEG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)Nc1nc2c(s1)COc1ccccc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),260.318
MW Monoisotopic(RDKit),260.061948624
MolLogP(RDKit),3.051
XLogP(SDF),
XLogP(CDK),1.419
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),51.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.902490615391759
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,23905.24883115539
qed,0.9024906153917591
Chi0,12.535169427003234
Chi1,8.775188245478668
TPSA,51.22
Chi0n,9.895573106023146
Chi0v,10.712069686950873
Chi1n,5.793949142585218
Chi1v,6.610445723512944
Chi2n,3.9773654467565502
