DLiP-ID,C0003Y
DLiP-Mol-ID,30243
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H20ClN3O2/c1-21-14-7-12(17)11(16)6-10(14)15(20)18-13-8-19-4-2-9(13)3-5-19/h6-7,9,13H,2-5,8,17H2,1H3,(H,18,20)/t13-/m1/s1"
Standard Inchi Key(RDKit),FEROPKNOYKURCJ-CYBMUJFWSA-N
Canonical SMILES(RDKit),COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CN2CCC1CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),309.797
MW Monoisotopic(RDKit),309.12440456
MolLogP(RDKit),1.7548
XLogP(SDF),
XLogP(CDK),1.565
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),67.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.834913168880865
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,75000.19282679861
qed,0.8349131688808653
Chi0,14.982763184195939
Chi1,10.07971869811898
TPSA,67.58999999999999
Chi0n,12.06395990131778
Chi0v,12.819888847336236
Chi1n,7.244291127776654
Chi1v,7.6222556007858815
Chi2n,5.791997500445751
Chi2v,6.199197627186356
Chi3n,4.536086839284975
Chi3v,4.863413674638963
Chi4n,3.290191371456604
Chi4v,3.4538547891335982
MolMR,82.83460000000002
MolWt,309.79700000000014
fr_SH,0
Kappa1,14.476134884117906
Kappa2,5.733839470286446
Kappa3,2.8027590857820366
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,556.0948660314082
MolLogP,1.7548000000000001
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7762356289742276
