DLiP-ID,C002W4
DLiP-Mol-ID,33250
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24N4O5S/c1-3-32-23(28)19-20-22(25-18-13-8-7-12-17(18)24-20)27(14-9-15-31-2)21(19)26-33(29,30)16-10-5-4-6-11-16/h4-8,10-13,26H,3,9,14-15H2,1-2H3"
Standard Inchi Key(RDKit),DRACJKWGTDYKRU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)c1c(NS(=O)(=O)c2ccccc2)n(CCCOC)c2nc3ccccc3nc12
SMILES(SDF),
MW(SDF),
MW(RDKit),468.535
MW Monoisotopic(RDKit),468.146740868
MolLogP(RDKit),3.5985
XLogP(SDF),
XLogP(CDK),4.295
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),112.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.294967488551991
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,32349484.4949355
qed,0.29496748855199056
Chi0,23.424074484064484
Chi1,15.957856885186638
TPSA,112.41000000000001
Chi0n,18.31571007673588
Chi0v,19.132206657663605
Chi1n,10.488437679330394
Chi1v,11.971600926924783
Chi2n,7.245153729298645
Chi2v,8.92755597070816
Chi3n,5.045620375914622
Chi3v,6.400466247561923
Chi4n,3.572942334257708
Chi4v,4.673032147290914
MolMR,124.73400000000004
MolWt,468.5350000000003
fr_SH,0
Kappa1,22.685325443786983
Kappa2,9.552631578947368
Kappa3,4.52577873254565
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1400.9222536260563
MolLogP,3.5985000000000023
NOCount,9
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.9783999104240275
SMR_VSA1,22.686060076000857
SMR_VSA2,0.0
SMR_VSA3,14.53505668968577
SMR_VSA4,0.0
SMR_VSA5,24.784798704046985
SMR_VSA6,25.045656334755456
SMR_VSA7,60.160755107851486
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,190.96409969439094
NHOHCount,1
PEOE_VSA1,14.040825555391454
PEOE_VSA2,4.722094864452088
PEOE_VSA3,23.180291210295174
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,37.61002709646307
PEOE_VSA8,20.261435911703025
PEOE_VSA9,22.535766875263214
RingCount,4
SMR_VSA10,44.00773859281097
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,468.146740868
NumHDonors,1
PEOE_VSA10,16.898014987148287
PEOE_VSA11,5.647177220767728
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.722094864452088
SlogP_VSA2,49.245720432269934
SlogP_VSA3,26.041773466920258
SlogP_VSA4,0.0
SlogP_VSA5,23.70254749838545
SlogP_VSA6,59.49278709167226
SlogP_VSA7,0.0
SlogP_VSA8,22.19727937361651
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
