DLiP-ID,C100OM
DLiP-Mol-ID,35921
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11N5O3/c16-15(21)11-3-1-2-10(8-11)14-9-19(18-17-14)12-4-6-13(7-5-12)20(22)23/h1-9H,(H2,16,21)"
Standard Inchi Key(RDKit),JLSAFCBWXPMHJQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)c1cccc(-c2cn(-c3ccc([N+](=O)[O-])cc3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),309.285
MW Monoisotopic(RDKit),309.086189212
MolLogP(RDKit),1.9414
XLogP(SDF),
XLogP(CDK),2.258
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),116.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.583489659344917
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,244844.11836823562
qed,0.5834896593449173
Chi0,16.396976746569035
Chi1,11.041713895658193
TPSA,116.94
Chi0n,11.787101945287683
Chi0v,11.787101945287683
Chi1n,6.618376479180605
Chi1v,6.618376479180605
Chi2n,4.766915001305129
Chi2v,4.766915001305129
Chi3n,3.2613110173172486
Chi3v,3.2613110173172486
Chi4n,2.081146665736079
Chi4v,2.081146665736079
MolMR,81.96730000000001
MolWt,309.28499999999997
fr_SH,0
Kappa1,14.389899261577582
Kappa2,5.6799685826292015
Kappa3,2.9058895642140086
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,886.1378236671089
MolLogP,1.9413999999999998
NOCount,8
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.922877727594936
SMR_VSA1,9.717848232889493
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,5.733667477162185
