DLiP-ID,T003J6
DLiP-Mol-ID,20352
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H27N3O3/c23-17(3-1-2-4-18(24)25)22-14-9-19(15-22)7-12-21(13-8-19)16-5-10-20-11-6-16/h5-6,10-11H,1-4,7-9,12-15H2,(H,24,25)"
Standard Inchi Key(RDKit),LMEKJOXYAOIJFH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCCCC(=O)N1CCC2(CCN(c3ccncc3)CC2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),345.443
MW Monoisotopic(RDKit),345.205241724
MolLogP(RDKit),2.5455
XLogP(SDF),
XLogP(CDK),1.685
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.802218619785621
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,632245.8230998195
qed,0.8022186197856207
Chi0,17.70045984493289
Chi1,12.078917360319542
TPSA,73.74000000000001
Chi0n,14.69292663273809
Chi0v,14.69292663273809
Chi1n,9.225714806691409
