DLiP-ID,C001ZO
DLiP-Mol-ID,27342
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H18N2O5/c1-29-15-12-10-14(11-13-15)20(25)23-18-8-4-2-6-16(18)21(26)24-19-9-5-3-7-17(19)22(27)28/h2-13H,1H3,(H,23,25)(H,24,26)(H,27,28)"
Standard Inchi Key(RDKit),IMXPBIVHPVHSIJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccccc2C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),390.395
MW Monoisotopic(RDKit),390.121571676
MolLogP(RDKit),3.898
XLogP(SDF),
XLogP(CDK),4.352
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.592098796347684
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3523489.407692312
qed,0.5920987963476837
Chi0,20.80275414050485
Chi1,13.99040230064194
TPSA,104.73
Chi0n,15.508409987630925
Chi0v,15.508409987630925
Chi1n,8.674419412566738
Chi1v,8.674419412566738
Chi2n,6.033069959060027
Chi2v,6.033069959060027
Chi3n,4.177771152031923
Chi3v,4.177771152031923
Chi4n,2.6952557822767305
Chi4v,2.6952557822767305
MolMR,108.74370000000003
MolWt,390.3950000000001
fr_SH,0
Kappa1,19.626609896801497
Kappa2,8.705508381382558
Kappa3,4.590618987349864
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1060.807593485284
MolLogP,3.8980000000000015
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.8195651425537969
SMR_VSA1,24.227001900856216
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,17.743374749290194
SMR_VSA7,89.48675929663032
SMR_VSA8,0.0
