DLiP-ID,C000OM
DLiP-Mol-ID,31130
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3"
Standard Inchi Key(RDKit),QELUYTUMUWHWMC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1=NN(c2ccccc2)C(=O)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),174.203
MW Monoisotopic(RDKit),174.07931294
MolLogP(RDKit),1.7992
XLogP(SDF),
XLogP(CDK),1.485
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),32.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.638544183383521
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1451.644963716997
qed,0.6385441833835214
Chi0,9.259148545064338
Chi1,6.270856947829095
TPSA,32.67
Chi0n,7.396533608598457
Chi0v,7.396533608598457
Chi1n,4.192734922191376
Chi1v,4.192734922191376
Chi2n,3.053141867683439
Chi2v,3.053141867683439
Chi3n,1.9147691340938935
Chi3v,1.9147691340938935
Chi4n,1.3264966236953166
Chi4v,1.3264966236953166
MolMR,51.654000000000025
MolWt,174.20299999999995
fr_SH,0
Kappa1,7.9810659712403496
Kappa2,3.0117020960309198
Kappa3,1.4482005625942056
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,356.4473120841761
MolLogP,1.7992
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.3262386182068613
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.101407525739723
SMR_VSA5,13.344558822616634
SMR_VSA6,5.008912523954532
SMR_VSA7,30.33183534230805
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
