DLiP-ID,T007FR
DLiP-Mol-ID,25508
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24Cl2N4O4/c22-16-9-14(10-17(23)13-16)15(12-21(30)31)11-20(29)27-26-19(28)6-2-4-8-25-18-5-1-3-7-24-18/h1,3,5,7,9-10,13,15H,2,4,6,8,11-12H2,(H,24,25)(H,26,28)(H,27,29)(H,30,31)"
Standard Inchi Key(RDKit),XSYODUUPEOPEIR-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(CC(=O)NNC(=O)CCCCNc1ccccn1)c1cc(Cl)cc(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),467.353
MW Monoisotopic(RDKit),466.117460608
MolLogP(RDKit),3.7666
XLogP(SDF),
XLogP(CDK),3.42
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),120.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.295095906919165
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5394294.5874312315
qed,0.2950959069191649
Chi0,22.639617433688315
Chi1,14.8294075958929
TPSA,120.42
Chi0n,16.736543849046257
Chi0v,18.248401741083164
Chi1n,9.735860614011466
Chi1v,10.49178956002992
Chi2n,6.896906121892594
Chi2v,7.769777682836565
Chi3n,4.352069741041151
Chi3v,4.788505521513136
Chi4n,2.900609722092337
Chi4v,3.4435314148700287
MolMR,118.93590000000003
MolWt,467.35300000000007
fr_SH,0
Kappa1,24.429644231438672
Kappa2,12.764050472686995
Kappa3,9.672747138397503
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
