DLiP-ID,T002EK
DLiP-Mol-ID,18601
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26N2O3/c27-24(28)18-21(20-7-2-1-3-8-20)17-19-10-12-22(13-11-19)29-16-6-15-26-23-9-4-5-14-25-23/h1-5,7-14,21H,6,15-18H2,(H,25,26)(H,27,28)"
Standard Inchi Key(RDKit),IAMUMIBDQILHMZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(Cc1ccc(OCCCNc2ccccn2)cc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),390.483
MW Monoisotopic(RDKit),390.194342692
MolLogP(RDKit),4.7636
XLogP(SDF),
XLogP(CDK),4.774
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),71.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.461842924033882
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4452743.625963732
qed,0.46184292403388194
Chi0,20.31334402005525
Chi1,14.20350993820667
TPSA,71.45
Chi0n,16.329361446515147
Chi0v,16.329361446515147
Chi1n,9.838893739771848
Chi1v,9.838893739771848
Chi2n,6.897314111093439
Chi2v,6.897314111093439
Chi3n,4.658305170761281
Chi3v,4.658305170761281
Chi4n,3.1961158185452283
Chi4v,3.1961158185452283
MolMR,114.42050000000003
MolWt,390.483
fr_SH,0
Kappa1,20.395692002202136
Kappa2,10.855751046919414
Kappa3,6.957787826816294
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,867.6472132446285
MolLogP,4.763600000000004
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.4634779534939262
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,25.18037091493942
SMR_VSA6,18.468426974431825
SMR_VSA7,90.12015137654642
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,170.93899757870244
NHOHCount,2
PEOE_VSA1,15.160178952647087
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,54.151920549253845
PEOE_VSA8,12.741599977525652
PEOE_VSA9,13.027703587438928
RingCount,3
SMR_VSA10,11.787168065786878
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,390.194342692
