DLiP-ID,C001KS
DLiP-Mol-ID,32516
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H15N3O2S/c19-18(20)14-8-6-13(7-9-14)17-15(21)16-11-10-12-4-2-1-3-5-12/h1-9H,10-11H2,(H2,16,17,21)"
Standard Inchi Key(RDKit),PJOLZDYSBDFJSY-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccc(NC(S)=NCCc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),301.371
MW Monoisotopic(RDKit),301.08849772
MolLogP(RDKit),3.5352
XLogP(SDF),
XLogP(CDK),3.658
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),67.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.291729863027437
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,60584.60747238522
qed,0.291729863027437
Chi0,15.079139501373252
Chi1,10.147867045540842
TPSA,67.53
Chi0n,11.26850335250733
Chi0v,12.162930543507246
Chi1n,6.4378007290990364
Chi1v,6.885014324598995
Chi2n,4.369909847588889
Chi2v,4.793516645338867
Chi3n,2.839138402188502
Chi3v,3.092363157300801
Chi4n,1.7706875878642958
Chi4v,1.9997870327378764
MolMR,88.15310000000001
MolWt,301.371
fr_SH,1
Kappa1,15.0565687284032
Kappa2,7.444360383916058
Kappa3,4.923023640822103
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,627.1268065019879
MolLogP,3.5352000000000015
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8667749687214656
