DLiP-ID,T007OU
DLiP-Mol-ID,25896
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19N3O4/c1-3-25-18(23)15-16-14-5-4-8-20(14)17(22)12-9-11(24-2)6-7-13(12)21(16)10-19-15/h6-7,9-10,14H,3-5,8H2,1-2H3/t14-/m0/s1"
Standard Inchi Key(RDKit),YKYOQIXTECBVBB-AWEZNQCLSA-N
Canonical SMILES(RDKit),CCOC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1cc(OC)ccc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),341.367
MW Monoisotopic(RDKit),341.137556088
MolLogP(RDKit),2.3483
XLogP(SDF),
XLogP(CDK),3.278
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),73.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.801372310994186
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD2/Ack
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,906422.7911900087
qed,0.8013723109941859
Chi0,17.551677284948283
Chi1,12.15139700539098
TPSA,73.66000000000001
Chi0n,14.189812419049648
Chi0v,14.189812419049648
Chi1n,8.390735710202447
Chi1v,8.390735710202447
Chi2n,6.108541872156912
Chi2v,6.108541872156912
Chi3n,4.796204446884097
Chi3v,4.796204446884097
Chi4n,3.6972367457552653
Chi4v,3.6972367457552653
MolMR,89.08400000000005
MolWt,341.3670000000001
fr_SH,0
Kappa1,15.683427406389828
Kappa2,5.9113726040769174
Kappa3,2.299148146897071
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,858.0012262126514
MolLogP,2.3483
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9450141861233425
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,14.450987899589041
SMR_VSA4,0.0
SMR_VSA5,25.807221274690605
SMR_VSA6,20.261435911703025
SMR_VSA7,41.47772876154329
SMR_VSA8,0.0
SMR_VSA9,11.436898107967467
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.7100622659328
NHOHCount,0
PEOE_VSA1,14.373635638450576
PEOE_VSA2,9.361636831863176
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,37.964481650927475
PEOE_VSA8,6.544756405912575
PEOE_VSA9,36.70328609616743
RingCount,4
SMR_VSA10,11.876485017303356
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,341.137556088
NumHDonors,0
PEOE_VSA10,12.076831908048447
PEOE_VSA11,5.693927994848461
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.736862953800049
SlogP_VSA2,46.58890882859542
SlogP_VSA3,4.736862953800049
SlogP_VSA4,0.0
SlogP_VSA5,52.347603124228165
SlogP_VSA6,24.52642128014937
SlogP_VSA7,0.0
SlogP_VSA8,5.687386274683562
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
