DLiP-ID,C000NQ
DLiP-Mol-ID,31098
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19N3S/c1-2-6-15(7-3-1)14-20-10-12-21(13-11-20)18-19-16-8-4-5-9-17(16)22-18/h1-9H,10-14H2"
Standard Inchi Key(RDKit),SNRZSONRAFJJSB-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(CN2CCN(c3nc4ccccc4s3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),309.438
MW Monoisotopic(RDKit),309.129968608
MolLogP(RDKit),3.6185
XLogP(SDF),
XLogP(CDK),3.613
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),19.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.736474153973414
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,273227.5682203722
qed,0.7364741539734138
Chi0,14.77781011412252
Chi1,10.88214273316075
TPSA,19.37
Chi0n,12.481575405603111
Chi0v,13.298071986530838
Chi1n,7.751794776103849
Chi1v,8.568291357031574
Chi2n,5.712958941954778
