DLiP-ID,T002JD
DLiP-Mol-ID,18817
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11Cl3N2O3/c15-8-2-1-3-9(10(8)16)19-13(20)11(17)12(14(19)21)18-4-6-22-7-5-18/h1-3H,4-7H2"
Standard Inchi Key(RDKit),IJTLWZPUGZBFLA-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1cccc(Cl)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),361.612
MW Monoisotopic(RDKit),359.983525252
MolLogP(RDKit),2.6492
XLogP(SDF),
XLogP(CDK),3.107
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.760016262367516
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rad51/BRCA2
Common Target Pref Name,Rad51/BRCA2
RDKit Descriptors
Ipc,121710.72915447102
qed,0.7600162623675156
Chi0,15.853006672199017
Chi1,10.519744507803583
TPSA,49.85
Chi0n,11.313543413734255
Chi0v,13.581330251789621
Chi1n,6.5734449280572145
Chi1v,7.707338347084897
Chi2n,4.780668655940606
Chi2v,5.943797728699666
Chi3n,3.503855220935038
Chi3v,4.653455742459272
Chi4n,2.4364077202104344
Chi4v,3.1013346220270233
MolMR,84.22600000000003
MolWt,361.6120000000001
fr_SH,0
Kappa1,15.61904949531881
Kappa2,6.083730365543011
Kappa3,2.4794903695671824
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,683.9106772656902
MolLogP,2.6492000000000013
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9846336449045108
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,31.203186471701464
SMR_VSA7,38.97369349803691
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,141.5157301460733
NHOHCount,0
PEOE_VSA1,9.636772684650527
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.899909730850478
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,40.86918673915916
PEOE_VSA7,12.13273413692322
PEOE_VSA8,13.08951281182515
