DLiP-ID,C002XG
DLiP-Mol-ID,33298
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14BrN3O2/c15-13-12(17-6-8-20-9-7-17)10-16-18(14(13)19)11-4-2-1-3-5-11/h1-5,10H,6-9H2"
Standard Inchi Key(RDKit),HHIGEMSQAJOBTL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1c(Br)c(N2CCOCC2)cnn1-c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),336.189
MW Monoisotopic(RDKit),335.026938788
MolLogP(RDKit),1.8316
XLogP(SDF),
XLogP(CDK),2.746
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),47.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.839599827912385
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,58157.89067389811
qed,0.839599827912385
Chi0,13.94938298937633
Chi1,9.770856947829097
TPSA,47.36000000000001
Chi0n,10.828630580320775
Chi0v,12.414627119435481
Chi1n,6.431290203074717
Chi1v,7.224288472632069
Chi2n,4.4957178634449235
Chi2v,5.288716133002277
Chi3n,3.2530439113429583
Chi3v,3.9984724948386647
Chi4n,2.2019095935565702
Chi4v,2.723013029973705
MolMR,80.56600000000003
MolWt,336.189
fr_SH,0
Kappa1,13.328940228504798
Kappa2,5.764391985811964
Kappa3,2.4844717348192296
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
