DLiP-ID,C000CY
DLiP-Mol-ID,30625
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H17NO4/c18-13-2-1-9(6-14(13)19)5-12-11-8-16(21)15(20)7-10(11)3-4-17-12/h1-2,6-8,12,17-21H,3-5H2/t12-/m1/s1"
Standard Inchi Key(RDKit),ABXZOXDTHTTZJW-GFCCVEGCSA-N
Canonical SMILES(RDKit),Oc1ccc(C[C@H]2NCCc3cc(O)c(O)cc32)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),287.315
MW Monoisotopic(RDKit),287.115758024
MolLogP(RDKit),1.9385
XLogP(SDF),
XLogP(CDK),2.317
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),92.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.544320701774468
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,65347.317977960716
qed,0.544320701774468
Chi0,14.982763184195939
Chi1,10.041713895658196
TPSA,92.95
Chi0n,11.374276340697232
Chi0v,11.374276340697232
Chi1n,6.833420332525065
Chi1v,6.833420332525065
Chi2n,5.323636993852576
Chi2v,5.323636993852576
Chi3n,3.8765352066756606
Chi3v,3.8765352066756606
Chi4n,2.7819678741751868
Chi4v,2.7819678741751868
MolMR,77.69490000000002
MolWt,287.315
fr_SH,0
Kappa1,13.577000659817138
Kappa2,5.179477978555257
Kappa3,2.598422674658449
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,684.2174609046676
MolLogP,1.9385000000000008
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9089621565878687
SMR_VSA1,20.426109579362823
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,6.544756405912575
SMR_VSA7,47.02218981739904
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,4
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,121.66923182201032
NHOHCount,5
PEOE_VSA1,25.742898183369157
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,60.34222240070202
