DLiP-ID,T006SV
DLiP-Mol-ID,24514
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H21ClN4O6S/c1-3-9-21(10-4-2)18-16(22(24)25)11-15(12-17(18)23(26)27)30(28,29)20-14-7-5-13(19)6-8-14/h5-8,11-12,20H,3-4,9-10H2,1-2H3"
Standard Inchi Key(RDKit),VTMBYPHWZHZKKK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1[N+](=O)[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),456.908
MW Monoisotopic(RDKit),456.087033072
MolLogP(RDKit),4.5836
XLogP(SDF),
XLogP(CDK),4.892
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),135.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.407605217854857
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,2550160.5249329866
qed,0.4076052178548572
Chi0,22.474327015758654
Chi1,14.100591295278473
TPSA,135.69
Chi0n,16.36987203264009
Chi0v,17.94229755958627
Chi1n,9.10441783472391
Chi1v,10.96554555532753
Chi2n,6.423791296075848
Chi2v,8.54262931795735
Chi3n,4.146602232107485
Chi3v,5.759314247375898
Chi4n,2.943843775800373
Chi4v,4.167628652547795
MolMR,114.80630000000004
MolWt,456.90800000000013
fr_SH,0
Kappa1,23.35982727412927
Kappa2,9.720794934054153
