DLiP-ID,C001RO
DLiP-Mol-ID,32821
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18Cl2O4/c1-17(10-4-2-3-5-10)7-9-6-11(23-8-12(20)21)14(18)15(19)13(9)16(17)22/h6,10H,2-5,7-8H2,1H3,(H,20,21)/t17-/m0/s1"
Standard Inchi Key(RDKit),RNOJGTHBMJBOSP-KRWDZBQOSA-N
Canonical SMILES(RDKit),C[C@@]1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),357.233
MW Monoisotopic(RDKit),356.058214416
MolLogP(RDKit),4.3921
XLogP(SDF),
XLogP(CDK),4.485
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.868005859506801
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,187782.42849058058
qed,0.8680058595068006
Chi0,16.775656403009393
Chi1,10.842059705644738
TPSA,63.6
Chi0n,12.82522863840854
Chi0v,14.33708653044545
Chi1n,7.7458009975418
Chi1v,8.501729943560255
Chi2n,6.623953145039385
Chi2v,7.379882091057839
Chi3n,5.165784754912694
Chi3v,6.0157241337352465
Chi4n,3.9362374387062546
Chi4v,4.44015899177986
