DLiP-ID,C001XJ
DLiP-Mol-ID,26846
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H12O4/c1-21-15-7-6-10(9-14(15)18)8-13-16(19)11-4-2-3-5-12(11)17(13)20/h2-9,18H,1H3"
Standard Inchi Key(RDKit),FKPKGGGAKSMQEJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C=C2C(=O)c3ccccc3C2=O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),280.279
MW Monoisotopic(RDKit),280.073558864
MolLogP(RDKit),2.8634
XLogP(SDF),
XLogP(CDK),2.539
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.678351822356426
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,81673.04917137099
qed,0.6783518223564255
Chi0,14.982763184195939
Chi1,10.113392202930195
TPSA,63.60000000000001
Chi0n,11.290760620408555
Chi0v,11.290760620408555
Chi1n,6.386961934001475
Chi1v,6.386961934001475
Chi2n,4.693131001358572
Chi2v,4.693131001358572
Chi3n,3.4194798900255634
Chi3v,3.4194798900255634
Chi4n,2.366959275952154
Chi4v,2.366959275952154
