DLiP-ID,C000EN
DLiP-Mol-ID,30714
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18O3/c1-10-9-22-18-12-6-7-13-11(5-4-8-19(13,2)3)15(12)17(21)16(20)14(10)18/h6-7,9H,4-5,8H2,1-3H3"
Standard Inchi Key(RDKit),HYXITZLLTYIPOF-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),294.35
MW Monoisotopic(RDKit),294.125594436
MolLogP(RDKit),4.24792
XLogP(SDF),
XLogP(CDK),4.444
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),47.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.682420692295895
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,140495.89124327071
qed,0.6824206922958951
Chi0,15.64589989101247
Chi1,10.41552078507628
TPSA,47.28
Chi0n,13.078116022520112
Chi0v,13.078116022520112
Chi1n,7.754540214395631
Chi1v,7.754540214395631
Chi2n,7.0327612581762216
Chi2v,7.0327612581762216
Chi3n,5.150510378702843
Chi3v,5.150510378702843
Chi4n,3.9835534005538773
Chi4v,3.9835534005538773
MolMR,83.50600000000003
MolWt,294.35
fr_SH,0
Kappa1,13.499300517419588
Kappa2,4.187630392126188
Kappa3,1.5659247410289305
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,836.6054568466739
MolLogP,4.247920000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.07124893140553
SMR_VSA1,14.006225305196992
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,45.448666937246685
SMR_VSA6,0.0
SMR_VSA7,46.21315459104725
SMR_VSA8,0.0
SMR_VSA9,11.323698910571437
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,128.87868751223638
NHOHCount,0
PEOE_VSA1,4.417150937053347
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.98020853630447
PEOE_VSA7,48.29154701295642
PEOE_VSA8,11.126902983393991
PEOE_VSA9,11.826614487336052
RingCount,4
SMR_VSA10,11.566489892729878
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,294.125594436
NumHDonors,0
PEOE_VSA10,5.760247418874442
PEOE_VSA11,0.0
PEOE_VSA12,11.566489892729878
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,11.566489892729878
SlogP_VSA3,11.83581209232279
SlogP_VSA4,6.923737199690624
SlogP_VSA5,64.09544947186188
SlogP_VSA6,22.813048069615622
SlogP_VSA7,0.0
SlogP_VSA8,11.323698910571437
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
