DLiP-ID,C000VR
DLiP-Mol-ID,31444
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H18Cl2N2O2/c14-5-7-17(8-6-15)11-3-1-10(2-4-11)9-12(16)13(18)19/h1-4,12H,5-9,16H2,(H,18,19)"
Standard Inchi Key(RDKit),SGDBTWWWUNNDEQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),305.205
MW Monoisotopic(RDKit),304.074533176
MolLogP(RDKit),1.925
XLogP(SDF),
XLogP(CDK),0.360000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),66.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.720239222897486
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,15174.024687603149
qed,0.720239222897486
Chi0,14.25071237662706
Chi1,9.078917360319544
TPSA,66.56
Chi0n,10.558239948552728
Chi0v,12.070097840589638
Chi1n,6.023493110621616
Chi1v,7.092538078271314
Chi2n,4.180314698001937
Chi2v,4.936243644020392
Chi3n,2.783166961858622
Chi3v,3.121228663750028
Chi4n,1.7581338862941682
Chi4v,2.1662104591067504
MolMR,79.41020000000003
MolWt,305.205
fr_SH,0
Kappa1,16.085463117027178
Kappa2,8.250757383985736
Kappa3,5.265510919548018
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
