DLiP-ID,T004BW
DLiP-Mol-ID,17432
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21N3O4/c1-27-18-6-3-2-5-16(18)15-9-7-14(8-10-15)13-17(19(24)25)22-20(26)23-12-4-11-21-23/h2-3,5-11,17H,4,12-13H2,1H3,(H,22,26)(H,24,25)/t17-/m0/s1"
Standard Inchi Key(RDKit),NRBKBGAGKDYKFG-KRWDZBQOSA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)N2CCC=N2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),367.405
MW Monoisotopic(RDKit),367.153206152
MolLogP(RDKit),2.759
XLogP(SDF),
XLogP(CDK),3.255
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),91.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.821252636037503
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1865587.5679281373
qed,0.8212526360375029
Chi0,19.225403871315223
Chi1,13.07971869811898
TPSA,91.23
Chi0n,14.961208693347368
Chi0v,14.961208693347368
Chi1n,8.638378692369786
Chi1v,8.638378692369786
Chi2n,6.151506201741091
Chi2v,6.151506201741091
Chi3n,4.333010898868619
Chi3v,4.333010898868619
Chi4n,2.9108862652658773
Chi4v,2.9108862652658773
MolMR,101.90450000000006
MolWt,367.4050000000001
fr_SH,0
Kappa1,18.441354604835674
Kappa2,8.35343195592178
Kappa3,4.438181125781026
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,848.5602580169713
MolLogP,2.7590000000000003
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.704069816698859
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,10.325701127960862
SMR_VSA4,5.101407525739723
SMR_VSA5,18.88348407499998
SMR_VSA6,13.65455394719011
SMR_VSA7,54.09438803938988
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.80818062890154
NHOHCount,2
PEOE_VSA1,15.160178952647085
PEOE_VSA2,0.0
PEOE_VSA3,14.597986892098174
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,17.193270051855603
PEOE_VSA8,24.61969531708433
PEOE_VSA9,13.65455394719011
RingCount,3
SMR_VSA10,18.21502037982524
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,367.153206152
