DLiP-ID,T001SA
DLiP-Mol-ID,17661
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29N3O5S/c1-2-15-27-26(32)28-23-10-6-9-22(17-23)21-13-11-19(12-14-21)16-24(25(30)31)29-35(33,34)18-20-7-4-3-5-8-20/h3-14,17,24,29H,2,15-16,18H2,1H3,(H,30,31)(H2,27,28,32)/t24-/m0/s1"
Standard Inchi Key(RDKit),GESICGGAMVEXKK-DEOSSOPVSA-N
Canonical SMILES(RDKit),CCCNC(=O)Nc1cccc(-c2ccc(C[C@H](NS(=O)(=O)Cc3ccccc3)C(=O)O)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),495.601
MW Monoisotopic(RDKit),495.182792028
MolLogP(RDKit),4.0004
XLogP(SDF),
XLogP(CDK),3.831
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),124.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.32004615931727
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,48122866.730820715
qed,0.3200461593172703
Chi0,25.26093777724795
Chi1,16.753151974494312
TPSA,124.60000000000001
Chi0n,19.399785941220227
Chi0v,20.216282522147953
Chi1n,11.264771226608577
Chi1v,12.917036452928732
Chi2n,8.116111662705107
Chi2v,9.869984809902569
Chi3n,5.202516560149916
Chi3v,6.559524274437135
Chi4n,3.490763714731689
Chi4v,4.823022086756729
MolMR,136.51969999999994
MolWt,495.6010000000002
fr_SH,0
Kappa1,25.924218605079997
Kappa2,12.141378865429578
Kappa3,8.235805270798066
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1245.4935946285839
MolLogP,4.000400000000003
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.665851300095422
SMR_VSA1,23.113398747313283
SMR_VSA2,0.0
SMR_VSA3,10.038883468458419
SMR_VSA4,0.0
SMR_VSA5,31.560074881437394
SMR_VSA6,11.861545009918906
SMR_VSA7,89.98967487339495
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,204.99276884232057
NHOHCount,4
PEOE_VSA1,15.740104602853368
PEOE_VSA2,4.794537184071822
PEOE_VSA3,17.934429032852847
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,73.65377495276834
PEOE_VSA7,47.22818334956322
PEOE_VSA8,12.232142680596137
PEOE_VSA9,5.752853606746789
RingCount,3
SMR_VSA10,27.711097228381064
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,495.1827920279999
NumHDonors,4
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,12.000419800289922
SlogP_VSA1,15.355672072464749
SlogP_VSA2,38.1113414145201
SlogP_VSA3,26.991503567152204
SlogP_VSA4,0.0
SlogP_VSA5,24.471461806010623
SlogP_VSA6,78.86277189000094
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,22.034437270507397
EState_VSA2,18.20478974201087
EState_VSA3,23.359045663990127
