DLiP-ID,C000CF
DLiP-Mol-ID,30605
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11NO2/c17-15-12-8-4-5-9-13(12)16-14(18-15)10-11-6-2-1-3-7-11/h1-9H,10H2"
Standard Inchi Key(RDKit),DDRPLKODWUPIEW-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1oc(Cc2ccccc2)nc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),237.258
MW Monoisotopic(RDKit),237.078978592
MolLogP(RDKit),2.7788
XLogP(SDF),
XLogP(CDK),3.331
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),43.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.687924820669716
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,21176.05545654861
qed,0.6879248206697163
Chi0,12.372032720186704
Chi1,8.826499840494924
TPSA,43.1
Chi0n,9.666969380320866
Chi0v,9.666969380320866
Chi1n,5.754726684094885
Chi1v,5.754726684094885
Chi2n,4.074585806663574
Chi2v,4.074585806663574
Chi3n,2.777800017142734
Chi3v,2.777800017142734
Chi4n,1.9089893575443082
Chi4v,1.9089893575443082
MolMR,69.52700000000003
MolWt,237.258
fr_SH,0
Kappa1,10.716297452503811
Kappa2,4.450341178503496
Kappa3,2.024691651960458
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,732.0697081404661
MolLogP,2.7788000000000013
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0597186740336046
SMR_VSA1,4.417150937053347
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,0.0
SMR_VSA7,76.47160253302722
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,103.72109087669213
NHOHCount,0
PEOE_VSA1,4.417150937053347
PEOE_VSA2,0.0
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,17.696185628620217
PEOE_VSA8,6.4208216229260096
PEOE_VSA9,10.902924932081056
RingCount,3
SMR_VSA10,10.902924932081056
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,237.078978592
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.890723922025908
PEOE_VSA13,0.0
PEOE_VSA14,5.625586319077987
SlogP_VSA1,5.625586319077987
SlogP_VSA2,4.9839785209472085
SlogP_VSA3,6.4208216229260096
