DLiP-ID,I000XI
DLiP-Mol-ID,29106
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H35FN4O3/c1-18(30-2)27(35)32-25(19-7-4-3-5-8-19)28(36)33-14-6-9-24(33)21-15-22(17-31-16-21)26(34)20-10-12-23(29)13-11-20/h10-13,15-19,24-25,30H,3-9,14H2,1-2H3,(H,32,35)/t18-,24-,25-/m0/s1"
Standard Inchi Key(RDKit),PLYJYKAWZXEBFC-WDNCENIBSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(C(=O)c2ccc(F)cc2)c1)C1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),494.611
MW Monoisotopic(RDKit),494.2693192
MolLogP(RDKit),3.7882
XLogP(SDF),
XLogP(CDK),4.166
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),91.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.545170478856814
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,167480617.42507783
qed,0.5451704788568135
Chi0,25.656125291633355
Chi1,17.384249150759292
TPSA,91.4
Chi0n,21.004843745978995
Chi0v,21.004843745978995
Chi1n,12.920657795522496
Chi1v,12.920657795522496
Chi2n,9.927337212929741
Chi2v,9.927337212929741
Chi3n,7.559990773394177
Chi3v,7.559990773394177
Chi4n,5.345845278959932
Chi4v,5.345845278959932
MolMR,134.78489999999996
MolWt,494.61100000000033
fr_SH,0
Kappa1,25.947832015667895
Kappa2,11.736317427266838
Kappa3,5.80693425042297
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1084.4573018124586
MolLogP,3.7882000000000033
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.564364421916952
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,20.51746545981035
SMR_VSA4,5.917906046161393
SMR_VSA5,69.99501104761659
SMR_VSA6,13.592428388589765
SMR_VSA7,65.23309780167108
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,211.41015868466832
NHOHCount,2
PEOE_VSA1,15.53348693886314
PEOE_VSA2,19.367590073162674
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,19.26246486877803
PEOE_VSA7,81.4678885542383
PEOE_VSA8,30.06534653253272
PEOE_VSA9,12.083681658295921
RingCount,4
SMR_VSA10,17.59760440506795
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,494.2693192
NumHDonors,2
PEOE_VSA10,11.859061670193856
PEOE_VSA11,5.783244946364939
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,53.15760270375132
SlogP_VSA3,9.589074368143644
SlogP_VSA4,11.735126887207288
SlogP_VSA5,79.39622104848347
SlogP_VSA6,42.7255224855342
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.900902499341818
EState_VSA2,29.557351280377304
EState_VSA3,17.671659389306566
EState_VSA4,50.50920285217907
EState_VSA5,30.462311845459514
EState_VSA6,26.2346198224425
EState_VSA7,4.899909730850478
EState_VSA8,15.617555728959871
EState_VSA9,0.0
SlogP_VSA10,4.39041504767482
SlogP_VSA11,0.0
SlogP_VSA12,0.0
