DLiP-ID,C0025Q
DLiP-Mol-ID,28617
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15N3OS/c1-11-4-3-5-15(17-11)19-16-18-14(10-21-16)12-6-8-13(20-2)9-7-12/h3-10H,1-2H3,(H,17,18,19)"
Standard Inchi Key(RDKit),GSZNPOCHMGYKJM-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2csc(Nc3cccc(C)n3)n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),297.383
MW Monoisotopic(RDKit),297.0935831
MolLogP(RDKit),4.26572
XLogP(SDF),
XLogP(CDK),3.776
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),47.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.781093325967331
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,106691.62901512616
qed,0.7810933259673314
Chi0,14.656489770562878
Chi1,10.241514740667453
TPSA,47.04
Chi0n,11.82972592544465
Chi0v,12.646222506372377
Chi1n,6.550685307820183
Chi1v,7.430338119075077
Chi2n,4.555608785149774
Chi2v,5.4137116370077925
Chi3n,3.01329631687053
Chi3v,3.7710173836751895
Chi4n,1.9477416800717862
Chi4v,2.674336935220147
MolMR,86.35870000000003
MolWt,297.383
fr_SH,0
Kappa1,13.577000659817138
Kappa2,5.929209252286176
Kappa3,3.1974200483740938
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,737.2878319041489
MolLogP,4.2657200000000035
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.7895953784154761
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,12.426586145283864
SMR_VSA7,53.53856024454564
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.01854240583768
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,0.0
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,6.06636706846161
PEOE_VSA7,43.321939610460284
PEOE_VSA8,16.637442257011372
PEOE_VSA9,12.803725536125995
RingCount,3
SMR_VSA10,22.2862071356091
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,297.09358310000005
NumHDonors,1
PEOE_VSA10,11.567374611118932
PEOE_VSA11,5.131558479839333
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,17.07775458317195
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,5.693927994848461
SlogP_VSA6,47.844632249697185
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,33.65024057235218
EState_VSA5,0.0
EState_VSA6,18.44658341921227
EState_VSA7,54.768369449387805
EState_VSA8,15.284745645900749
EState_VSA9,4.736862953800049
SlogP_VSA10,10.949421257674361
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
