DLiP-ID,C101KT
DLiP-Mol-ID,40131
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H27NO4.ClH/c1-26-23-6-3-2-5-20(23)9-12-22(25)19-7-10-21(11-8-19)28-16-4-13-24-14-17-27-18-15-24;/h2-3,5-12H,4,13-18H2,1H3;1H/b12-9+;"
Standard Inchi Key(RDKit),JWVMVEUIJVEWNW-NBYYMMLRSA-N
Canonical SMILES(RDKit),COc1ccccc1/C=C/C(=O)c1ccc(OCCCN2CCOCC2)cc1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),417.933
MW Monoisotopic(RDKit),417.170686056
MolLogP(RDKit),4.1142
XLogP(SDF),
XLogP(CDK),4.001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),48.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.348792599932331
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,3002333.797943651
qed,0.3487925999323307
Chi0,19.606237238868705
Chi1,13.758351493073063
TPSA,48.0
Chi0n,16.711705208021367
Chi0v,17.528201788949094
Chi1n,9.644730504753115
Chi1v,9.644730504753115
Chi2n,6.619940053150699
Chi2v,6.619940053150699
Chi3n,4.683138601617934
Chi3v,4.683138601617934
Chi4n,3.0841809773584523
Chi4v,3.0841809773584523
MolMR,117.41950000000004
MolWt,417.93300000000016
fr_SH,0
Kappa1,22.943998078098424
Kappa2,12.27100459911629
Kappa3,7.201926671318089
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,785.7197731704091
MolLogP,4.114200000000004
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.999995159008213e-06
SMR_VSA1,19.005126045471968
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,46.56471265255401
SMR_VSA7,65.73385963792076
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
