DLiP-ID,T000KZ
DLiP-Mol-ID,16151
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N4O3S/c1-13-12-15(7-10-17(13)23)21-20-14-5-8-16(9-6-14)26(24,25)22-18-4-2-3-11-19-18/h2-12,23H,1H3,(H,19,22)"
Standard Inchi Key(RDKit),BRMQUCUHSDODTM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),368.418
MW Monoisotopic(RDKit),368.094311372
MolLogP(RDKit),4.31182
XLogP(SDF),
XLogP(CDK),4.129
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),104.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.654693585832091
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,745127.6320686954
qed,0.6546935858320906
Chi0,18.57070333293597
Chi1,12.437490172930893
TPSA,104.01
Chi0n,13.864452214477309
Chi0v,14.680948795405035
Chi1n,7.6922839158975895
Chi1v,9.175447163491981
Chi2n,5.485167480980643
Chi2v,7.1675697223901595
Chi3n,3.5121642616856836
Chi3v,4.882799190914773
Chi4n,2.1289898379947796
Chi4v,3.1373044824766905
MolMR,98.50730000000001
MolWt,368.41800000000006
fr_SH,0
Kappa1,17.559419292901637
Kappa2,7.32095854252985
Kappa3,4.224209912295063
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,1
BertzCT,1033.7911758545852
MolLogP,4.311820000000003
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.751058637884943
SMR_VSA1,13.524324379169643
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,10.228500251258795
SMR_VSA5,11.819220675208399
SMR_VSA6,4.722094864452088
