DLiP-ID,T004OG
DLiP-Mol-ID,20365
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N6O4/c29-19-9-15(21(32)27-18(11-20(30)31)14-3-2-6-23-12-14)13-28(19)17-5-1-4-16(10-17)26-22-24-7-8-25-22/h1-6,10,12,15,18H,7-9,11,13H2,(H,27,32)(H,30,31)(H2,24,25,26)"
Standard Inchi Key(RDKit),OSFFDUZCJDKYFG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(NC(=O)C1CC(=O)N(c2cccc(NC3=NCCN3)c2)C1)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),436.472
MW Monoisotopic(RDKit),436.185903248
MolLogP(RDKit),1.1378
XLogP(SDF),
XLogP(CDK),-0.245
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),136.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.510906463119284
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,25537244.711013105
qed,0.5109064631192844
Chi0,22.501424753254106
Chi1,15.491203638441373
TPSA,136.01999999999998
Chi0n,17.32263585122042
Chi0v,17.32263585122042
Chi1n,10.372467526081772
Chi1v,10.372467526081772
Chi2n,7.683219467976967
Chi2v,7.683219467976967
Chi3n,5.372576141864869
Chi3v,5.372576141864869
Chi4n,3.8011543374621097
Chi4v,3.8011543374621097
MolMR,118.20290000000001
MolWt,436.47200000000015
fr_SH,0
Kappa1,21.288457529152762
Kappa2,9.459994833546135
Kappa3,5.022406848244963
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1041.7263774301412
MolLogP,1.1378000000000006
NOCount,10
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.4328735614809862
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,15.617555728959871
SMR_VSA4,10.910310778797061
SMR_VSA5,18.88348407499998
SMR_VSA6,29.850967552594536
SMR_VSA7,54.35534104569281
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,184.29438901702662
NHOHCount,4
PEOE_VSA1,25.956802937710176
PEOE_VSA2,24.359994805798344
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,29.828919765543436
PEOE_VSA8,43.27879412734444
PEOE_VSA9,24.92532490414794
RingCount,4
SMR_VSA10,35.11799186476582
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,436.1859032480001
