DLiP-ID,C0029H
DLiP-Mol-ID,29464
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14N4O/c1-12-15(20-10-6-5-9-14(20)18-12)16(21)19-17-11-13-7-3-2-4-8-13/h2-11H,1H3,(H,19,21)/b17-11+"
Standard Inchi Key(RDKit),RANFSJFWLRPNDQ-GZTJUZNOSA-N
Canonical SMILES(RDKit),Cc1nc2ccccn2c1C(=O)N/N=C/c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),278.315
MW Monoisotopic(RDKit),278.116761068
MolLogP(RDKit),2.40662
XLogP(SDF),
XLogP(CDK),4.22
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.590533466285654
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,101523.32975842756
qed,0.590533466285654
Chi0,14.656489770562878
Chi1,10.25402019542349
TPSA,58.760000000000005
Chi0n,11.523391768859998
Chi0v,11.523391768859998
Chi1n,6.576589785188733
Chi1v,6.576589785188733
Chi2n,4.584469652622693
Chi2v,4.584469652622693
Chi3n,3.0985926238603976
Chi3v,3.0985926238603976
Chi4n,2.1445581391188786
Chi4v,2.1445581391188786
MolMR,81.43120000000003
MolWt,278.315
fr_SH,0
Kappa1,13.052605705188398
Kappa2,5.58224284366153
Kappa3,2.667399472649067
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
