DLiP-ID,I000XA
DLiP-Mol-ID,29094
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H25N3O3/c1-17-16-26(24(29)20-8-4-3-5-9-20)14-15-27(17)23(28)18(2)30-21-12-6-10-19-11-7-13-25-22(19)21/h3-13,17-18H,14-16H2,1-2H3/t17-,18-/m1/s1"
Standard Inchi Key(RDKit),PILWBQABZMEXDS-QZTJIDSGSA-N
Canonical SMILES(RDKit),C[C@@H](Oc1cccc2cccnc12)C(=O)N1CCN(C(=O)c2ccccc2)C[C@H]1C
SMILES(SDF),
MW(SDF),
MW(RDKit),403.482
MW Monoisotopic(RDKit),403.18959166
MolLogP(RDKit),3.3752
XLogP(SDF),
XLogP(CDK),3.489
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),62.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.670074386744121
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,8212969.28133976
qed,0.6700743867441208
Chi0,21.087211190881018
Chi1,14.541713895658196
TPSA,62.74
Chi0n,17.193259500916245
Chi0v,17.193259500916245
Chi1n,10.195642469964744
Chi1v,10.195642469964744
Chi2n,7.589196708388504
Chi2v,7.589196708388504
Chi3n,5.46573010453705
Chi3v,5.46573010453705
Chi4n,3.8784898167814155
Chi4v,3.8784898167814155
MolMR,115.35350000000001
MolWt,403.4820000000001
fr_SH,0
Kappa1,19.88698649368336
Kappa2,8.530452385652833
Kappa3,3.986276455281349
fr_ArN,0
fr_COO,0
