DLiP-ID,C001DV
DLiP-Mol-ID,32220
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3"
Standard Inchi Key(RDKit),VMXUWOKSQNHOCA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
SMILES(SDF),
MW(SDF),
MW(RDKit),314.411
MW Monoisotopic(RDKit),314.141261564
MolLogP(RDKit),1.459
XLogP(SDF),
XLogP(CDK),1.282
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.38410287831471
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,43242.95036106833
qed,0.38410287831471035
Chi0,15.664925939000156
Chi1,10.007239053047545
TPSA,83.58
Chi0n,12.587898285170438
Chi0v,13.404394866098164
Chi1n,6.57961968698511
Chi1v,7.73432022536436
Chi2n,4.663295344399729
Chi2v,5.768467059922267
Chi3n,2.499388934818891
Chi3v,3.4808301567419924
Chi4n,1.6311678696798866
Chi4v,2.378240150385573
MolMR,84.40080000000003
MolWt,314.411
fr_SH,0
Kappa1,17.381733057423695
Kappa2,9.299837768091132
Kappa3,7.618411990544398
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,473.7363586621033
MolLogP,1.4589999999999999
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.218277243493725
SMR_VSA1,9.340461985871018
SMR_VSA2,0.0
SMR_VSA3,15.53348693886314
SMR_VSA4,0.0
SMR_VSA5,12.297610012659364
SMR_VSA6,33.44062596069093
SMR_VSA7,45.78847622930053
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,128.4562521662435
NHOHCount,2
PEOE_VSA1,19.950637875916488
PEOE_VSA2,10.114318268765572
PEOE_VSA3,0.0
PEOE_VSA4,11.761884949391115
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,26.2280781022776
PEOE_VSA8,19.345281995336553
PEOE_VSA9,17.220921061477036
RingCount,1
SMR_VSA10,11.761884949391115
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,314.14126156399993
NumHDonors,2
PEOE_VSA10,11.520494837748885
PEOE_VSA11,5.8209740960423995
PEOE_VSA12,0.0
PEOE_VSA13,6.199954889820448
