DLiP-ID,I000L8
DLiP-Mol-ID,28576
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H18N2O4S/c1-9-15(10(2)21-16-9)11-4-7-13(20-3)14(8-11)22(18,19)17-12-5-6-12/h4,7-8,12,17H,5-6H2,1-3H3"
Standard Inchi Key(RDKit),JZOMZTBBAILTQJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),322.386
MW Monoisotopic(RDKit),322.098728056
MolLogP(RDKit),2.40774
XLogP(SDF),
XLogP(CDK),2.326
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.913936176301067
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,141843.4572921352
qed,0.9139361763010668
Chi0,15.905412915006313
Chi1,10.419852082725852
TPSA,81.43
Chi0n,12.712069686950873
Chi0v,13.528566267878599
Chi1n,7.057464775545083
Chi1v,8.540628023139474
Chi2n,5.460370599793669
Chi2v,7.142772841203186
Chi3n,3.6743551820723734
Chi3v,5.216055288272454
Chi4n,2.4214233253369355
Chi4v,3.921275656476326
MolMR,81.30850000000004
MolWt,322.3860000000001
fr_SH,0
Kappa1,15.051788250673834
Kappa2,5.403678042341934
Kappa3,2.7352325764974443
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
