DLiP-ID,T002PI
DLiP-Mol-ID,19085
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H"
Standard Inchi Key(RDKit),IYRMWMYZSQPJKC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),286.239
MW Monoisotopic(RDKit),286.04773804
MolLogP(RDKit),2.2824
XLogP(SDF),
XLogP(CDK),3.691
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),111.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.545851399414342
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,58902.4820835748
qed,0.5458513994143424
Chi0,15.14589989101247
Chi1,9.969234250586762
TPSA,111.13000000000001
Chi0n,10.569452578065317
Chi0v,10.569452578065317
Chi1n,5.982867370120882
Chi1v,5.982867370120882
Chi2n,4.493823057337529
Chi2v,4.493823057337529
Chi3n,3.064846292294603
Chi3v,3.064846292294603
Chi4n,2.0835902147847842
Chi4v,2.0835902147847842
MolMR,74.5792
MolWt,286.23900000000003
fr_SH,0
Kappa1,12.862251838410245
Kappa2,4.447829199162572
Kappa3,2.0237234307623813
fr_ArN,0
fr_COO,0
fr_C_O,0
