DLiP-ID,T001ID
DLiP-Mol-ID,17218
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H39N5O3/c1-16(27-5)23(32)29-22(26(2,3)4)24(33)31-15-13-18-10-11-19(21(18)31)28-25(34)30-14-12-17-8-6-7-9-20(17)30/h6-9,16,18-19,21-22,27H,10-15H2,1-5H3,(H,28,34)(H,29,32)/t16-,18+,19-,21-,22+/m0/s1"
Standard Inchi Key(RDKit),FJAKNADBBZKKLG-CRDRRFEFSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)N3CCc4ccccc43)[C@H]21)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),469.63
MW Monoisotopic(RDKit),469.305290108
MolLogP(RDKit),2.277
XLogP(SDF),
XLogP(CDK),2.066
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),93.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.61681002801757
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,44218758.7912725
qed,0.61681002801757
Chi0,24.620591385700628
Chi1,16.112410768570086
TPSA,93.77999999999999
