DLiP-ID,J000N5
DLiP-Mol-ID,27639
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H15ClFN3O2/c1-19(26,11-24-8-7-14-16(21)3-2-4-17(14)24)18(25)23-13-6-5-12(10-22)15(20)9-13/h2-9,26H,11H2,1H3,(H,23,25)/t19-/m0/s1"
Standard Inchi Key(RDKit),MVBCFXQHDXSGME-IBGZPJMESA-N
Canonical SMILES(RDKit),C[C@](O)(Cn1ccc2c(F)cccc21)C(=O)Nc1ccc(C#N)c(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),371.799
MW Monoisotopic(RDKit),371.08368262
MolLogP(RDKit),3.69518
XLogP(SDF),
XLogP(CDK),3.227
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),78.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.73368369224094
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,724752.8275821771
qed,0.7336836922409401
Chi0,18.896976746569035
Chi1,12.313698932843204
TPSA,78.05000000000001
Chi0n,13.831726957685747
Chi0v,14.587655903704203
Chi1n,7.784948333345394
Chi1v,8.162912806354623
Chi2n,6.150683038048798
