DLiP-ID,T001DR
DLiP-Mol-ID,17024
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H27N3O4/c16-8-3-1-2-6-13(19)18-10-4-5-12(11-18)15(22)17-9-7-14(20)21/h12H,1-11,16H2,(H,17,22)(H,20,21)"
Standard Inchi Key(RDKit),DWUDTTQIPXVNRZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCCCCCC(=O)N1CCCC(C(=O)NCCC(=O)O)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),313.398
MW Monoisotopic(RDKit),313.200156344
MolLogP(RDKit),0.335000000000001
XLogP(SDF),
XLogP(CDK),-0.774
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),112.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.531134299561249
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,65580.21392834658
qed,0.5311342995612487
Chi0,16.372032720186702
Chi1,10.540912557858759
TPSA,112.73
Chi0n,13.052047193822782
Chi0v,13.052047193822782
Chi1n,8.016121740995652
Chi1v,8.016121740995652
Chi2n,5.71300735582772
Chi2v,5.71300735582772
Chi3n,3.877749792532619
Chi3v,3.877749792532619
Chi4n,2.6100990419060737
Chi4v,2.6100990419060737
MolMR,82.08890000000004
MolWt,313.398
fr_SH,0
Kappa1,18.419091801669122
Kappa2,10.155633017622202
Kappa3,6.886366325492146
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,386.9838492775758
MolLogP,0.335000000000001
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.315586934434371
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,11.651573523323577
SMR_VSA5,44.94575136048208
SMR_VSA6,26.1790256236503
SMR_VSA7,0.0
