DLiP-ID,C004KW
DLiP-Mol-ID,35438
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27Cl2NO4/c1-25(14-22(29)30)13-21(17-4-2-5-19(27)12-17)23(16-7-9-18(26)10-8-16)28(24(25)31)20-6-3-11-32-15-20/h2,4-5,7-10,12,20-21,23H,3,6,11,13-15H2,1H3,(H,29,30)/t20?,21-,23-,25-/m0/s1"
Standard Inchi Key(RDKit),QVBYRQZNJPOALG-AYSPMRAMSA-N
Canonical SMILES(RDKit),C[C@@]1(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@H](c2ccc(Cl)cc2)N(C2CCCOC2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),476.4
MW Monoisotopic(RDKit),475.131713704
MolLogP(RDKit),5.71060000000001
XLogP(SDF),
XLogP(CDK),4.589
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.84
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.600477417325046
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,14550066.811817901
qed,0.6004774173250457
Chi0,22.880104409694468
Chi1,15.28151274729585
TPSA,66.84
Chi0n,17.96859465661513
Chi0v,19.48045254865204
Chi1n,10.915997463443203
Chi1v,11.671926409461658
Chi2n,9.076576349937863
Chi2v,9.949447910881831
Chi3n,6.6614758473959546
