DLiP-ID,C000LF
DLiP-Mol-ID,30994
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17N3O4S/c1-12-3-9-16(10-4-12)26(23,24)21-15-7-5-14(6-8-15)18(22)19-17-11-13(2)25-20-17/h3-11,21H,1-2H3,(H,19,20,22)"
Standard Inchi Key(RDKit),NPAUELDNSYIBKW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)Nc3cc(C)on3)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),371.418
MW Monoisotopic(RDKit),371.093977024
MolLogP(RDKit),3.34454
XLogP(SDF),
XLogP(CDK),3.406
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.716138477010036
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,766118.571032474
qed,0.7161384770100362
Chi0,18.733840039752497
Chi1,12.331337023048244
TPSA,101.3
Chi0n,14.18460747052591
Chi0v,15.001104051453634
Chi1n,7.776095577127558
Chi1v,9.25925882472195
Chi2n,5.772828378518882
Chi2v,7.4552306199284
Chi3n,3.600155138719289
Chi3v,4.997354105228611
Chi4n,2.234944805019474
Chi4v,3.2935676678309496
MolMR,97.62270000000001
MolWt,371.4180000000001
fr_SH,0
Kappa1,17.685288959768116
Kappa2,7.007246671667415
Kappa3,4.092663555846574
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1023.0579833397478
MolLogP,3.344540000000002
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7061663960642501
SMR_VSA1,17.735429105374106
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,18.742957874899023
SMR_VSA6,10.038883468458419
SMR_VSA7,71.48445401842294
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,150.62777378528244
NHOHCount,2
PEOE_VSA1,9.83988354097968
PEOE_VSA2,9.51663204852391
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,22.85284888574566
PEOE_VSA7,50.245676810150904
PEOE_VSA8,17.31720483484217
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,27.435719935277678
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,371.093977024
NumHDonors,2
PEOE_VSA10,5.760247418874442
PEOE_VSA11,5.817862777835028
PEOE_VSA12,0.0
PEOE_VSA13,15.930470882759089
PEOE_VSA14,0.0
SlogP_VSA1,10.038883468458419
SlogP_VSA2,19.481639970805887
SlogP_VSA3,10.023291153407584
