DLiP-ID,T000KM
DLiP-Mol-ID,16138
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25N5O4/c1-26-12-15-10-14(8-9-16(15)24-18(23(26)32)11-21(29)30)22(31)27(2)13-20-25-17-6-4-5-7-19(17)28(20)3/h4-10,18,24H,11-13H2,1-3H3,(H,29,30)/t18-/m0/s1"
Standard Inchi Key(RDKit),BPWSYPSAGVVVNV-SFHVURJKSA-N
Canonical SMILES(RDKit),CN(Cc1nc2ccccc2n1C)C(=O)c1ccc2c(c1)CN(C)C(=O)[C@H](CC(=O)O)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),435.484
MW Monoisotopic(RDKit),435.19065428
MolLogP(RDKit),2.0727
XLogP(SDF),
XLogP(CDK),2.037
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),107.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.635363486082118
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15063994.858185206
qed,0.6353634860821182
Chi0,22.990834873703708
Chi1,15.24009119841586
TPSA,107.77000000000001
Chi0n,18.20093534596803
Chi0v,18.20093534596803
Chi1n,10.263359210814718
Chi1v,10.263359210814718
Chi2n,8.09798974394344
Chi2v,8.09798974394344
Chi3n,5.74756056857044
Chi3v,5.74756056857044
Chi4n,4.001401358778893
Chi4v,4.001401358778893
MolMR,119.09100000000007
MolWt,435.4840000000002
fr_SH,0
Kappa1,21.355783533019213
Kappa2,8.333462142678018
Kappa3,4.008901774550136
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
