DLiP-ID,C100NO
DLiP-Mol-ID,35825
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H14ClNO5S/c1-11-18(20(23)24)16-10-17(14-4-2-3-5-15(14)19(16)27-11)22-28(25,26)13-8-6-12(21)7-9-13/h2-10,22H,1H3,(H,23,24)"
Standard Inchi Key(RDKit),SKHQMXNBWXUVIS-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1oc2c(cc(NS(=O)(=O)c3ccc(Cl)cc3)c3ccccc32)c1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),415.854
MW Monoisotopic(RDKit),415.028121228
MolLogP(RDKit),5.04682
XLogP(SDF),
XLogP(CDK),4.415
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),96.61
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.485951708483085
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,2299470.95573014
qed,0.48595170848308483
Chi0,20.051677284948287
Chi1,13.275694130382421
TPSA,96.61
Chi0n,14.562571943535136
Chi0v,16.134997470481316
Chi1n,8.242610837172753
Chi1v,10.103738557776373
Chi2n,6.244215629514772
Chi2v,8.363053651396273
Chi3n,4.453842491345911
Chi3v,6.087228715612928
Chi4n,3.2057983163234067
Chi4v,4.4024224994999095
MolMR,107.67680000000004
MolWt,415.8540000000001
fr_SH,0
Kappa1,18.338747786234524
Kappa2,6.541496196080103
Kappa3,2.9825567714276633
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1340.7968653633784
MolLogP,5.046820000000004
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9603492730209666
SMR_VSA1,22.736012500294812
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,11.819220675208399
SMR_VSA6,4.722094864452088
SMR_VSA7,70.94363584046725
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.94570003704604
NHOHCount,2
PEOE_VSA1,9.523678331894054
PEOE_VSA2,4.722094864452088
PEOE_VSA3,13.212334168400758
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,35.866408164078955
PEOE_VSA7,37.255572541998674
PEOE_VSA8,21.181305957135713
PEOE_VSA9,10.582869750201336
RingCount,4
SMR_VSA10,55.02261539131214
fr_Al_COO,0
