DLiP-ID,I000H3
DLiP-Mol-ID,28397
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H20ClN3/c1-19(2)11-12-20(16-5-3-4-10-18-16)13-14-6-8-15(17)9-7-14/h3-10H,11-13H2,1-2H3"
Standard Inchi Key(RDKit),ICKFFNBDFNZJSX-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),289.81
MW Monoisotopic(RDKit),289.13457532
MolLogP(RDKit),3.3032
XLogP(SDF),
XLogP(CDK),3.892
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),19.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.813273399559248
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FAK_VEGFR3
Common Target Pref Name,FAK/VEGFR3
RDKit Descriptors
Ipc,36799.82002123008
qed,0.8132733995592482
Chi0,14.372032720186704
Chi1,9.647867045540842
TPSA,19.37
Chi0n,11.959727756585753
Chi0v,12.715656702604209
Chi1n,6.7011009410361675
Chi1v,7.079065414045395
Chi2n,5.039233729755828
Chi2v,5.475669510227814
Chi3n,3.077098086339032
Chi3v,3.3290744016785165
Chi4n,1.9463223738579856
Chi4v,2.072310531527728
MolMR,85.29300000000006
MolWt,289.81
fr_SH,0
Kappa1,14.821340204764113
Kappa2,7.268476050812133
Kappa3,4.510831073077922
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,511.0050109847871
MolLogP,3.3032000000000012
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.1150368066003713
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,32.08476650803001
SMR_VSA7,59.24749785628266
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,125.35578944577897
NHOHCount,0
PEOE_VSA1,9.799819461700956
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.800041095617345
PEOE_VSA7,43.92426373089781
PEOE_VSA8,30.853746103092128
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,17.418802668067542
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,289.13457532
NumHDonors,0
PEOE_VSA10,5.817862777835028
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,37.06874502897722
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,48.661413050844345
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
