DLiP-ID,C001XM
DLiP-Mol-ID,26855
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H16N4OS/c1-18(2)11-7-5-10(6-8-11)13-12(9-16)14(20)19(3)15(17-13)21-4/h5-8H,1-4H3"
Standard Inchi Key(RDKit),YWJYAWQVXOGURC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CSc1nc(-c2ccc(N(C)C)cc2)c(C#N)c(=O)n1C
SMILES(SDF),
MW(SDF),
MW(RDKit),300.387
MW Monoisotopic(RDKit),300.104482132
MolLogP(RDKit),2.10688
XLogP(SDF),
XLogP(CDK),3.269
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),61.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.641522458362645
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,50160.46081614645
qed,0.6415224583626447
Chi0,15.568549621822843
Chi1,9.989600962842506
TPSA,61.92
Chi0n,12.414752039686062
Chi0v,13.23124862061379
Chi1n,6.321145358973394
Chi1v,7.545890230364983
