DLiP-ID,C001KQ
DLiP-Mol-ID,32514
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H16O6/c1-7-4-9(23)15-18-13(7)10(24)5-8-14(18)19-16(20(15)27)11(25)6-12(26)17(19)21(28)22(8,2)3/h4-6,23-26H,1-3H3"
Standard Inchi Key(RDKit),ABLACSIRCKEUOB-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),376.364
MW Monoisotopic(RDKit),376.094688232
MolLogP(RDKit),3.65592
XLogP(SDF),
XLogP(CDK),3.881
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),115.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.372311566663076
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1797597.4419880994
qed,0.3723115666630759
Chi0,20.281574381404035
Chi1,13.06829189630019
TPSA,115.06
Chi0n,15.337401770496438
Chi0v,15.337401770496438
Chi1n,8.784726289032658
Chi1v,8.784726289032658
Chi2n,7.978910473027021
Chi2v,7.978910473027021
Chi3n,6.018142259501212
Chi3v,6.018142259501212
Chi4n,4.702398041627983
Chi4v,4.702398041627983
MolMR,101.56920000000002
MolWt,376.3640000000001
fr_SH,0
Kappa1,16.62044611934542
Kappa2,4.647859799240566
Kappa3,1.5977511202210464
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1313.322240298462
MolLogP,3.6559200000000014
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.201373154007395
SMR_VSA1,30.015183947506465
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,26.186202068468653
SMR_VSA6,0.0
SMR_VSA7,46.01635866386981
SMR_VSA8,0.0
SMR_VSA9,34.12495031652961
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,4
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.848131445489
NHOHCount,4
PEOE_VSA1,20.426109579362823
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,49.59430021108608
PEOE_VSA8,22.402266989088197
PEOE_VSA9,22.105344944487765
RingCount,5
SMR_VSA10,22.33893832165947
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,4
ExactMolWt,376.09468823199995
NumHDonors,4
PEOE_VSA10,22.99804733313562
PEOE_VSA11,5.783244946364939
PEOE_VSA12,5.783244946364939
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,31.9925994720927
SlogP_VSA3,5.41499046939678
SlogP_VSA4,6.923737199690624
SlogP_VSA5,51.25380622600987
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,21.899351412323583
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,28.480504028694465
EState_VSA2,33.752829633355795
EState_VSA3,27.462802904020577
EState_VSA4,6.06636706846161
EState_VSA5,12.13273413692322
EState_VSA6,20.771211599071872
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,22.99804733313562
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
