DLiP-ID,T002PV
DLiP-Mol-ID,19098
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H6ClF5N4O2/c13-11(14,15)10(24)20-5-1-2-6(19-4-5)9-21-7(12(16,17)18)3-8(23)22-9/h1-4H,(H,20,24)(H,21,22,23)"
Standard Inchi Key(RDKit),JAEFDZMWABSAGW-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(-c2nc(O)cc(C(F)(F)F)n2)nc1)C(F)(F)Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),368.649
MW Monoisotopic(RDKit),368.009944212
MolLogP(RDKit),3.0331
XLogP(SDF),
XLogP(CDK),2.021
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),88.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.641991034961443
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,116578.247106968
qed,0.6419910349614429
Chi0,18.12095586463014
Chi1,10.964363626468568
TPSA,88.0
Chi0n,11.274290587277562
Chi0v,12.030219533296018
Chi1n,5.964566246814047
Chi1v,6.342530719823275
Chi2n,4.3167471822956545
Chi2v,4.7914437045145535
Chi3n,2.5109722982856977
Chi3v,2.68261509151905
Chi4n,1.4962388661727666
Chi4v,1.5434844252989197
MolMR,71.35949999999998
MolWt,368.649
fr_SH,0
