DLiP-ID,C100JP
DLiP-Mol-ID,36505
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13N3O/c19-15-8-6-14(7-9-15)18-11-13(16-17-18)10-12-4-2-1-3-5-12/h1-9,11,19H,10H2"
Standard Inchi Key(RDKit),ZSQDQVRTOOCIEW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1ccc(-n2cc(Cc3ccccc3)nn2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),251.289
MW Monoisotopic(RDKit),251.105862036
MolLogP(RDKit),2.5637
XLogP(SDF),
XLogP(CDK),2.888
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),50.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.777958285019862
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,43810.5585083475
qed,0.7779582850198615
Chi0,13.079139501373252
Chi1,9.309663088089316
TPSA,50.94
Chi0n,10.269463855082641
Chi0v,10.269463855082641
Chi1n,6.056852006347338
Chi1v,6.056852006347338
Chi2n,4.333222170243458
Chi2v,4.333222170243458
Chi3n,2.88315338817318
Chi3v,2.88315338817318
Chi4n,1.9159583400111706
Chi4v,1.9159583400111706
MolMR,72.27180000000003
MolWt,251.28900000000004
fr_SH,0
Kappa1,11.469264126569897
Kappa2,4.937315409401991
Kappa3,2.6261218521105714
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,659.3723851813356
MolLogP,2.5637
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.8152343631089716
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,0.0
SMR_VSA7,72.05152667431304
SMR_VSA8,0.0
SMR_VSA9,11.436898107967467
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.50010240452976
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,0.0
PEOE_VSA3,4.681802935145185
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,35.54522043796292
PEOE_VSA7,29.828919765543436
