DLiP-ID,C0013S
DLiP-Mol-ID,31790
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11N5O2/c1-16(2)12(18)19-8-3-4-9-10(7-8)17-11(15-14-9)5-6-13-17/h3-7H,1-2H3"
Standard Inchi Key(RDKit),CBEHDZXCPSGRMU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)C(=O)Oc1ccc2nnc3ccnn3c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),257.253
MW Monoisotopic(RDKit),257.091274592
MolLogP(RDKit),1.3379
XLogP(SDF),
XLogP(CDK),0.72
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.657368219506713
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,35262.08870702518
qed,0.6573682195067129
Chi0,13.405412915006313
Chi1,9.147867045540842
TPSA,72.62
Chi0n,10.439315904375649
Chi0v,10.439315904375649
Chi1n,5.6430748448335
Chi1v,5.6430748448335
Chi2n,4.214127640195875
Chi2v,4.214127640195875
Chi3n,2.6283160795849825
Chi3v,2.6283160795849825
Chi4n,1.6758680496174432
Chi4v,1.6758680496174432
MolMR,67.99900000000002
MolWt,257.253
fr_SH,0
Kappa1,11.39379199140016
Kappa2,4.197959183673469
Kappa3,1.9452572792156926
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,764.9957676136713
MolLogP,1.3378999999999999
NOCount,7
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,2.10423735721054
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,24.711353049369215
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,14.09534396535438
SMR_VSA7,30.462311845459517
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,107.95680646903737
NHOHCount,0
PEOE_VSA1,9.636772684650527
PEOE_VSA2,0.0
PEOE_VSA3,9.309935077687445
PEOE_VSA4,5.098681808301038
PEOE_VSA5,10.197363616602075
PEOE_VSA6,0.0
PEOE_VSA7,12.13273413692322
PEOE_VSA8,26.2280781022776
PEOE_VSA9,11.713544289229338
RingCount,3
SMR_VSA10,22.773818726938664
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,257.091274592
NumHDonors,0
PEOE_VSA10,11.266212550900168
PEOE_VSA11,5.647177220767728
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.093240070938415
