DLiP-ID,C001RD
DLiP-Mol-ID,32810
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17NO2S/c1-12-8-9-15-14(10-12)18(16(19(15)2)11-17(20)21)22-13-6-4-3-5-7-13/h3-10H,11H2,1-2H3,(H,20,21)"
Standard Inchi Key(RDKit),RFNMMSVHBUVLOM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc2c(c1)c(Sc1ccccc1)c(CC(=O)O)n2C
SMILES(SDF),
MW(SDF),
MW(RDKit),311.406
MW Monoisotopic(RDKit),311.097999784
MolLogP(RDKit),4.26502
XLogP(SDF),
XLogP(CDK),4.503
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),42.23
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.782349127911577
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,121601.11363426778
qed,0.782349127911577
Chi0,15.689869965382487
Chi1,10.558550648063802
TPSA,42.23
Chi0n,12.536832706631198
