DLiP-ID,I000S1
DLiP-Mol-ID,28864
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H24N4O/c1-31-21-10-11-25-23(16-21)18(17-29-25)12-14-27-19-6-8-20(9-7-19)30-26-13-15-28-24-5-3-2-4-22(24)26/h2-11,13,15-17,27,29H,12,14H2,1H3,(H,28,30)"
Standard Inchi Key(RDKit),MUXQHJINXVJMKL-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2[nH]cc(CCNc3ccc(Nc4ccnc5ccccc45)cc3)c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),408.505
MW Monoisotopic(RDKit),408.195011388
MolLogP(RDKit),6.1229
XLogP(SDF),
XLogP(CDK),4.874
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),61.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.30341970886971
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,26073956.481023945
qed,0.30341970886971037
Chi0,21.04539482762413
Chi1,15.297157633333281
TPSA,61.97
Chi0n,17.352579216991682
Chi0v,17.352579216991682
Chi1n,10.387394987445385
Chi1v,10.387394987445385
Chi2n,7.480216252090453
Chi2v,7.480216252090453
Chi3n,5.511003016873191
Chi3v,5.511003016873191
Chi4n,3.8646063257349734
Chi4v,3.8646063257349734
MolMR,128.5121
MolWt,408.5050000000001
fr_SH,0
Kappa1,19.00210686215898
Kappa2,8.399723659198111
Kappa3,4.028307568647003
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1319.3552996243093
MolLogP,6.122900000000004
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2278912553486405
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,24.28813115520277
SMR_VSA7,90.7535434564625
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.64582493696898
NHOHCount,3
PEOE_VSA1,20.354418682759917
PEOE_VSA2,4.9839785209472085
