DLiP-ID,T005XR
DLiP-Mol-ID,23179
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N4O4/c1-26(2)22(29)30-17-10-8-15(9-11-17)12-19(21(27)28)25-20-18(13-23-14-24-20)16-6-4-3-5-7-16/h3-11,13-14,19H,12H2,1-2H3,(H,27,28)(H,23,24,25)/t19-/m0/s1"
Standard Inchi Key(RDKit),SMULQXIRGZGIJX-IBGZPJMESA-N
Canonical SMILES(RDKit),CN(C)C(=O)Oc1ccc(C[C@H](Nc2ncncc2-c2ccccc2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),406.442
MW Monoisotopic(RDKit),406.164105184
MolLogP(RDKit),3.3118
XLogP(SDF),
XLogP(CDK),0.797000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),104.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.62012262579835
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5455701.49220295
qed,0.6201226257983496
Chi0,21.50986092169139
Chi1,14.435560745775549
TPSA,104.64999999999999
Chi0n,16.648909264853483
Chi0v,16.648909264853483
Chi1n,9.266218726829518
Chi1v,9.266218726829518
Chi2n,6.796680050137427
Chi2v,6.796680050137427
Chi3n,4.3395827571858145
Chi3v,4.3395827571858145
Chi4n,2.7601036129997194
Chi4v,2.7601036129997194
MolMR,112.37150000000003
MolWt,406.4420000000001
fr_SH,0
Kappa1,20.785535191111197
Kappa2,9.508408569116167
Kappa3,5.315683822848767
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1007.1608234265018
MolLogP,3.3118000000000016
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.7530388136244381
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,19.41213256936071
SMR_VSA7,72.68491875422912
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,173.71505921549948
NHOHCount,2
PEOE_VSA1,20.06008868349756
PEOE_VSA2,0.0
PEOE_VSA3,19.55703141003806
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,23.259637120317212
PEOE_VSA8,32.27646065159046
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.880408136725293
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,406.16410518399994
NumHDonors,2
PEOE_VSA10,23.936535515031437
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.062545358890265
SlogP_VSA1,10.05365155780638
SlogP_VSA2,52.17412432097821
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
