DLiP-ID,C001II
DLiP-Mol-ID,32426
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11BrO4/c15-11-3-1-2-4-14(11)19-8-13(18)10-6-5-9(16)7-12(10)17/h1-7,16-17H,8H2"
Standard Inchi Key(RDKit),LDDWVJINSMJWQT-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(COc1ccccc1Br)c1ccc(O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),323.142
MW Monoisotopic(RDKit),321.984070932
MolLogP(RDKit),3.122
XLogP(SDF),
XLogP(CDK),3.713
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.84859575524798
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,19667.755370575032
qed,0.8485957552479804
Chi0,13.828062645816686
Chi1,9.075387400469408
TPSA,66.76
Chi0n,9.837446910450799
Chi0v,11.423443449565504
Chi1n,5.5020567885587335
Chi1v,6.295055058116085
Chi2n,3.8437253860621032
Chi2v,4.698062285236624
Chi3n,2.477140552444573
Chi3v,3.1322622851054085
Chi4n,1.5386627244545255
Chi4v,1.9379011319449935
MolMR,73.73910000000001
MolWt,323.142
fr_SH,0
Kappa1,13.422332087402022
Kappa2,5.75332910114826
Kappa3,3.2586726849088183
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,610.1450014443018
MolLogP,3.122000000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0774945970618166
SMR_VSA1,19.74445492755328
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,6.606881964512918
SMR_VSA7,52.50074048676068
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,117.94946399393825
NHOHCount,2
PEOE_VSA1,14.94991774348146
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
