DLiP-ID,T000YF
DLiP-Mol-ID,16732
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H16N2O3S/c1-11(19)18-13-4-6-14(7-5-13)22-15(9-16(20)21)12-3-2-8-17-10-12/h2-8,10,15H,9H2,1H3,(H,18,19)(H,20,21)"
Standard Inchi Key(RDKit),CSOPYZAOMOWGOU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccc(SC(CC(=O)O)c2cccnc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),316.382
MW Monoisotopic(RDKit),316.088163372
MolLogP(RDKit),3.3481
XLogP(SDF),
XLogP(CDK),1.621
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),79.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.798991070833416
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,83871.1433760703
qed,0.7989910708334157
Chi0,15.94938298937633
Chi1,10.541713895658194
TPSA,79.29
Chi0n,12.022431266284688
Chi0v,12.838927847212414
Chi1n,6.703940229889773
Chi1v,7.583593041144668
Chi2n,4.69627797185772
Chi2v,5.972420346773117
Chi3n,2.869241923399791
Chi3v,4.1369229678586095
Chi4n,1.93695011313844
Chi4v,3.0601191300000163
MolMR,85.83350000000003
MolWt,316.382
fr_SH,0
Kappa1,16.037850394859284
Kappa2,7.6065668490800125
Kappa3,4.8901127464145455
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,644.2003115004376
MolLogP,3.3481000000000014
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.128908567195015
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,23.489980328116584
SMR_VSA6,5.316788604006331
SMR_VSA7,54.35534104569281
