DLiP-ID,J100AM
DLiP-Mol-ID,37084
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H20N4O2/c1-3-22(4-2)14-9-7-13(8-10-14)19-18(23)16-12-15(20-21-16)17-6-5-11-24-17/h5-12H,3-4H2,1-2H3,(H,19,23)(H,20,21)"
Standard Inchi Key(RDKit),CXIJJQKIGDHKNN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)c2cc(-c3ccco3)[nH]n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),324.384
MW Monoisotopic(RDKit),324.15862588
MolLogP(RDKit),3.7682
XLogP(SDF),
XLogP(CDK),3.818
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.723654226086705
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,517494.6253892755
qed,0.7236542260867049
Chi0,16.94094682093905
Chi1,11.707039898056804
TPSA,74.16
Chi0n,13.743939487817746
Chi0v,13.743939487817746
Chi1n,7.965499314013112
Chi1v,7.965499314013112
Chi2n,5.317449596255959
Chi2v,5.317449596255959
Chi3n,3.850897486347991
Chi3v,3.850897486347991
Chi4n,2.5355466946832976
Chi4v,2.5355466946832976
MolMR,94.24590000000003
MolWt,324.384
fr_SH,0
Kappa1,15.859752401338886
Kappa2,7.037703747769185
Kappa3,3.3215650379877366
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
