DLiP-ID,T001JP
IC0,1.488486470809897
IC1,3.3552973516007993
IC2,4.688385328642172
IC3,5.314193613804404
IC4,5.42141405034668
IC5,5.453160082092712
MID,62.217680934826014
Mpe,0.9591036414565824
Mse,0.9976184695776832
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,122.60310000000004
SdO,38.829677512889305
SdS,0
Spe,60.4235294117647
SsF,0
SsI,0
Sse,62.84996358339404
StN,0
fMF,0.2698412698412698
nBr,0
nCl,0
AMID,2.0070219656395487
BIC0,0.24047312757426886
BIC1,0.5420666320481149
BIC2,0.7574342833216723
BIC3,0.8585370333607566
BIC4,0.8758590811057861
BIC5,0.8809878261039764
CIC0,4.48879345269002
CIC1,2.6219825718991174
CIC2,1.2888945948577444
CIC3,0.6630863096955126
CIC4,0.5558658731532367
CIC5,0.524119841407205
GGI1,6.0
GGI2,4.444444444444446
GGI3,2.2430555555555554
GGI4,1.925555555555556
GGI5,1.1838888888888888
GGI6,0.8726984126984125
GGI7,0.4939413265306123
GGI8,0.3734174225245654
GGI9,0.2556250000000001
JGI1,0.18181818181818182
JGI2,0.09661835748792275
JGI3,0.044861111111111115
JGI4,0.038511111111111114
JGI5,0.024664351851851847
JGI6,0.01818121693121693
JGI7,0.01148700759373517
JGI8,0.010372706181237923
JGI9,0.008520833333333333
MIC0,13.754527455036115
MIC1,29.883270481281674
MIC2,36.32006027046331
MIC3,38.91275670018045
MIC4,39.370136487516646
MIC5,39.40213648751665
MPC2,46
MPC3,61
MPC4,76
MPC5,88
MPC6,91
MPC7,96
MPC8,103
MPC9,110
Mare,0.9725714285714288
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.12373901167910595
RPCG,0.08907392768982636
SIC0,0.2490240527230208
SIC1,0.5613418468841174
SIC2,0.7843677038128324
SIC3,0.8890655418213622
SIC4,0.9070035400269899
SIC5,0.9123146568146145
SaaN,0
SaaO,0
SaaS,0
Sare,61.27200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,93.77464766102351
TIC1,211.38373315085036
TIC2,295.36827570445683
TIC3,334.7941976696775
TIC4,341.54908517184083
TIC5,343.54908517184083
Vabc,414.0567791405083
WPol,50
apol,68.22337599999997
bpol,38.126624000000014
nRot,7
ABCGG,20.306697131577966
ATS0Z,1284.0
ATS0d,190.0
ATS0i,10361.743519583471
ATS0m,5047.541151000002
ATS0p,87.93082495516798
ATS0s,276.27777777777777
ATS0v,12781.514487553488
ATS1Z,1473.0
ATS1d,242.0
ATS1i,9629.113674098007
ATS1m,5513.643921000004
ATS1p,113.61112189000005
ATS1s,189.83333333333334
ATS1v,16279.397272598797
ATS2Z,2183.0
ATS2d,395.0
ATS2i,18272.72628587333
ATS2m,8016.371889999998
ATS2p,172.78491885273516
ATS2s,317.9722222222223
ATS2v,23976.50327907232
ATS3Z,2563.0
ATS3d,462.0
ATS3i,25779.069740296512
ATS3m,9178.886270000005
ATS3p,206.19326620546997
ATS3s,462.00000000000006
ATS3v,28002.077449013315
ATS4Z,2653.0
ATS4d,457.0
ATS4i,28577.189011209717
ATS4m,9394.804882000008
ATS4p,205.366980381413
ATS4s,550.0833333333335
ATS4v,28289.370596176348
ATS5Z,2610.0
ATS5d,453.0
ATS5i,28404.37270716253
ATS5m,9145.775628000003
ATS5p,204.17198711916797
ATS5s,627.7777777777782
ATS5v,28029.167062218938
ATS6Z,2564.0
ATS6d,453.0
ATS6i,27900.15907270357
ATS6m,8983.224043999997
ATS6p,218.41874184631894
ATS6s,505.4722222222221
ATS6v,29150.13086372179
ATS7Z,2480.0
ATS7d,459.0
ATS7i,32826.538665991604
ATS7m,8392.155586999997
ATS7p,227.7619288999029
ATS7s,542.8611111111113
ATS7v,29365.755526705594
ATS8Z,2128.0
ATS8d,414.0
ATS8i,33449.70366257323
ATS8m,7077.405176000004
ATS8p,207.30660168488293
ATS8s,535.2222222222222
ATS8v,25949.38938295676
C1SP1,0
C1SP2,3
C1SP3,4
C2SP1,0
C2SP2,8
C2SP3,5
C3SP2,2
C3SP3,1
C4SP3,0
FCSP3,0.4583333333333333
GGI10,0.19008264462809918
JGI10,0.007603305785123969
JGT10,0.44263818320482595
Kier1,25.619834710743802
Kier2,11.9234404536862
Kier3,6.320881483472185
MAXdO,13.323853073266854
MID_C,48.795062958580175
MID_N,8.102271934144486
MID_O,5.320346042101349
MID_X,0.0
MID_h,13.422617976245835
MINdO,12.365683206029736
MPC10,107
MWC01,33.0
MWC02,5.0689042022202315
MWC03,5.921578419643816
MWC04,6.799055862058796
MWC05,7.6708948313621175
MWC06,8.552753366814787
MWC07,9.430840432344976
MWC08,10.314901597246703
MWC09,11.196061719154867
MWC10,12.081557625832241
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,1
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,4
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,3
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.5180000000000016
SRW02,4.204692619390966
SRW03,0.0
SRW04,5.5254529391317835
SRW05,2.3978952727983707
SRW06,7.039660349862076
SRW07,4.59511985013459
SRW08,8.64241515616962
SRW09,6.6052979209482015
SRW10,10.292382802315128
SaaCH,13.638010907977918
SaaNH,0
SaaSe,0
SaaaC,2.0032306390252614
SaasC,0.7351447280907061
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.6320784580822807
SdssS,0
SsCH3,7.236447177093441
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,8.75592806761905
SssPH,0
SssSe,0
SsssB,0
SsssN,1.6204875283446714
SsssP,0
VE1_A,4.795131238763967
VE1_D,5.488106274765055
VE2_A,0.15468165286335378
VE2_D,0.17703568628274371
VE3_A,2.6990031893714455
VE3_D,2.8339853666625103
VR1_A,287.4006849847221
VR1_D,197.93830410606623
VR2_A,9.270989838216842
VR2_D,6.385106584066652
VR3_A,6.7922794685177434
VR3_D,6.419357498205787
WPath,2786
Xc-3d,2.1105545915349073
Xc-4d,0.0
Xc-5d,0.7477476343267457
Xc-6d,0.0
Xp-0d,22.543241116511002
Xp-1d,14.828606258093465
Xp-2d,13.236480278883157
Xp-3d,11.219797338987139
Xp-4d,8.868783669470393
Xp-5d,6.605624951896562
Xp-6d,4.353850308718204
Xp-7d,2.922163159684762
ZMIC0,104.35374381999
ZMIC1,54.587047319578595
ZMIC2,33.94644963784863
ZMIC3,26.04999331575462
ZMIC4,24.949574647238624
ZMIC5,24.823311792524336
nAcid,0
nAtom,63
nBase,1
nRing,3
piPC1,3.7495040759303713
piPC2,4.269697449699962
piPC3,4.783316371371566
piPC4,5.281298361378442
piPC5,5.763426223417044
piPC6,5.946074844809171
piPC7,6.268918711123002
piPC8,6.60838010793931
piPC9,6.912085732767766
AATS0Z,20.38095238095238
AATS0d,3.015873015873016
AATS0i,164.4721193584678
AATS0m,80.11970080952385
AATS0p,1.3957273802407615
AATS0s,4.385361552028218
AATS0v,202.88118234211885
AATS1Z,22.661538461538463
AATS1d,3.723076923076923
AATS1i,148.14021037073857
AATS1m,84.82529109230776
AATS1p,1.7478634136923084
AATS1s,2.920512820512821
AATS1v,250.4522657322892
AATS2Z,18.65811965811966
AATS2d,3.376068376068376
AATS2i,156.1771477425071
AATS2m,68.51599905982904
AATS2p,1.4767941782285057
AATS2s,2.717711301044635
AATS2v,204.92737845360958
AATS3Z,16.01875
AATS3d,2.8875
AATS3i,161.1191858768532
AATS3m,57.36803918750003
AATS3p,1.2887079137841873
AATS3s,2.8875
AATS3v,175.0129840563332
AATS4Z,15.24712643678161
AATS4d,2.6264367816091956
AATS4i,164.23671845522827
AATS4m,53.99313150574717
AATS4p,1.1802700021920287
AATS4s,3.161398467432951
AATS4v,162.58258963319741
AATS5Z,15.174418604651162
AATS5d,2.633720930232558
AATS5i,165.14170178582864
AATS5m,53.17311411627909
AATS5p,1.1870464367393487
AATS5s,3.649870801033594
AATS5v,162.96027361755196
AATS6Z,14.735632183908047
AATS6d,2.603448275862069
AATS6i,160.34574179714696
AATS6m,51.62772439080458
AATS6p,1.255280125553557
AATS6s,2.905012771392081
AATS6v,167.52948772253905
AATS7Z,12.338308457711443
AATS7d,2.283582089552239
AATS7i,163.3161127661274
AATS7m,41.75201784577113
AATS7p,1.1331439248751387
AATS7s,2.700801547816474
AATS7v,146.0982862025154
AATS8Z,10.64
AATS8d,2.07
AATS8i,167.24851831286614
AATS8m,35.38702588000002
AATS8p,1.0365330084244146
AATS8s,2.6761111111111107
AATS8v,129.7469469147838
AMID_C,1.5740342889864574
AMID_N,0.2613636107788544
AMID_O,0.17162406587423706
AMID_X,0.0
AMID_h,0.43298767665309146
ATS0dv,392.0
ATS0pe,383.4071999999999
ATS0se,476.8249239999998
ATS1dv,386.0
ATS1pe,415.39050000000003
ATS1se,498.63687599999975
ATS2dv,545.0
ATS2pe,728.1668
ATS2se,890.1514959999998
ATS3dv,599.0
ATS3pe,987.8161
ATS3se,1221.3622319999997
ATS4dv,573.0
ATS4pe,1084.4409999999996
ATS4se,1346.1173359999998
ATS5dv,568.0
ATS5pe,1088.8359000000003
ATS5se,1349.3380399999996
ATS6dv,490.0
ATS6pe,1066.6409
ATS6se,1324.8733919999995
ATS7dv,431.0
ATS7pe,1204.6534999999994
ATS7se,1512.9635799999994
ATS8dv,391.0
ATS8pe,1175.1906999999999
ATS8se,1493.2537359999992
ATSC0Z,458.8571428571427
ATSC0c,1.0218648849665226
ATSC0d,37.55555555555554
ATSC0i,91.26835300280959
ATSC0m,2186.6132617142844
ATSC0p,14.050999037114407
ATSC0s,103.4929453262786
ATSC0v,3153.0150282558307
ATSC1Z,15.385487528344642
ATSC1c,-0.6436021106346484
ATSC1d,16.617283950617285
ATSC1i,-11.978366127106051
ATSC1m,73.89235835827702
ATSC1p,-0.2722954789506811
ATSC1s,-4.239634948629658
ATSC1v,31.816076310074404
ATSC2Z,63.7891156462585
ATSC2c,-0.04726007405031854
ATSC2d,-0.11111111111111376
ATSC2i,-5.662818354308165
ATSC2m,295.64176629251733
ATSC2p,0.076205205875025
ATSC2s,9.546170319979844
ATSC2v,128.55103521405303
ATSC3Z,29.839002267573704
ATSC3c,0.7029656253886634
ATSC3d,-4.839506172839508
ATSC3i,12.449670523315508
ATSC3m,131.39782723356032
ATSC3p,-0.7892045144497796
ATSC3s,-0.6434590297024183
ATSC3v,-114.78962296705967
ATSC4Z,-15.27210884353742
ATSC4c,-0.6900727636211579
ATSC4d,-2.4074074074074088
ATSC4i,-16.19298455756868
ATSC4m,-62.1179035442175
ATSC4p,-0.8291918654238857
ATSC4s,-34.803707902914255
ATSC4v,66.72690439300041
ATSC5Z,-131.51473922902497
ATSC5c,-0.05627080940932303
ATSC5d,-6.580246913580245
ATSC5i,28.677113245045398
ATSC5m,-610.1927406167797
ATSC5p,3.072148209120522
ATSC5s,4.559824752946424
ATSC5v,26.42288377248282
ATSC6Z,-104.27210884353742
ATSC6c,0.5607347265697415
ATSC6d,-15.740740740740739
ATSC6i,-5.288382145201972
ATSC6m,-501.4087263061223
ATSC6p,-2.995388630792934
ATSC6s,-13.999475098681447
ATSC6v,-793.0552072869381
ATSC7Z,-156.73469387755105
ATSC7c,-0.3961280210551618
ATSC7d,-0.40740740740740555
ATSC7i,-29.450840394539235
ATSC7m,-745.2812017074833
ATSC7p,-4.708150830488569
ATSC7s,-24.00615184345343
ATSC7v,-1028.5250091838684
ATSC8Z,-0.6893424036281637
ATSC8c,-0.09263780961759614
ATSC8d,8.17283950617284
ATSC8i,25.642886091466465
ATSC8m,11.162994446711764
ATSC8p,4.292204157976802
ATSC8s,-0.1619075613784614
ATSC8v,610.7218306135894
AXp-0d,0.7272013263390645
AXp-1d,0.44935170479071107
AXp-2d,0.2877495712800686
AXp-3d,0.18393110391782194
AXp-4d,0.11669452196671569
AXp-5d,0.07506391990791549
AXp-6d,0.047844508887013235
AXp-7d,0.030439199580049606
GATS1Z,0.8876233355685413
GATS1c,1.7232426538939638
GATS1d,0.8635411925352756
GATS1i,1.433374792994277
GATS1m,0.894559019763043
GATS1p,1.18572911935324
GATS1s,0.5577282585684016
GATS1v,1.0825225744655003
GATS2Z,0.8748044193249676
GATS2c,1.1726937577633565
GATS2d,1.3545744196631775
GATS2i,1.2112224115969796
GATS2m,0.8809703235336418
GATS2p,1.06041739215079
GATS2s,0.5352131785359182
GATS2v,1.0095115624406439
GATS3Z,0.9673626245330016
GATS3c,1.0235100553026613
GATS3d,1.2845968934911245
GATS3i,1.0234212513803145
GATS3m,0.9687974938417805
GATS3p,1.0188420393877888
GATS3s,0.9623676625966041
GATS3v,0.9984155151250776
GATS4Z,1.0603680880605777
GATS4c,1.7203585668722419
GATS4d,1.1290552948377885
GATS4i,1.083881589319914
GATS4m,1.0524914904065377
GATS4p,0.9644112171151669
GATS4s,1.5634853733058838
GATS4v,0.9307287602002579
GATS5Z,1.1846418952185123
GATS5c,1.5109019024980068
GATS5d,1.1853756708407874
GATS5i,0.8985755610364492
GATS5m,1.1724981887729802
GATS5p,0.8484022965222272
GATS5s,1.7371907103167872
GATS5v,0.915585275853233
GATS6Z,1.0790050958331547
GATS6c,0.946427240562216
GATS6d,1.2998367680065297
GATS6i,1.052307042556523
GATS6m,1.0784271846623354
GATS6p,1.0885584286992551
GATS6s,1.2344438130624966
GATS6v,1.0824936789463393
GATS7Z,1.1017855925850204
GATS7c,1.1133458287268736
GATS7d,0.9609644087256031
GATS7i,1.0732585584511916
GATS7m,1.1003038058089356
GATS7p,1.0796050901524625
GATS7s,1.1721943659740006
GATS7v,1.0766934249274116
GATS8Z,1.0046046077210464
GATS8c,0.8801122398548225
GATS8d,0.7676627218934914
GATS8i,0.8109670597674713
GATS8m,1.0003738699362297
GATS8p,0.8372324376886889
GATS8s,1.1224745230528033
GATS8v,0.8924617117335293
MATS1Z,0.03249832359421395
MATS1c,-0.610451516581278
MATS1d,0.428857532999545
MATS1i,-0.12720511144915034
MATS1m,0.03275327584710616
MATS1p,-0.018782803687077108
MATS1s,-0.039704973412082276
MATS1v,0.009780200804490487
MATS2Z,0.07485550978701666
MATS2c,-0.02490322600895954
MATS2d,-0.001593081474738318
MATS2i,-0.033409279150628975
MATS2m,0.07280286967003514
MATS2p,0.002920331307820737
MATS2s,0.04966759367710282
MATS2v,0.02195352307929628
MATS3Z,0.025605152552926537
MATS3c,0.27087016989125157
MATS3d,-0.05073964497041424
MATS3i,0.05371037832143829
MATS3m,0.02366120034992029
MATS3p,-0.022115813739918805
MATS3s,-0.002448108826611917
MATS3v,-0.014334982116556034
MATS4Z,-0.012050714991196813
MATS4c,-0.2445077968053692
MATS4d,-0.023209549071618058
MATS4i,-0.06423888428462242
MATS4m,-0.010285753530426274
MATS4p,-0.021366782542388794
MATS4s,-0.12176040093210787
MATS4v,0.007662425021521731
MATS5Z,-0.10498059602073624
MATS5c,-0.020169809168247413
MATS5d,-0.06417710196779965
MATS5i,0.11508727853002307
MATS5m,-0.1022132415115499
MATS5p,0.08008424064738018
MATS5s,0.0161379924355838
MATS5v,0.003069490377314171
MATS6Z,-0.08227766565036289
MATS6c,0.19868051575659224
MATS6d,-0.15175474392981025
MATS6i,-0.020979441280310866
MATS6m,-0.08302544488029223
MATS6p,-0.07718577590167074
MATS6s,-0.04897701433449227
MATS6v,-0.09106860447134695
MATS7Z,-0.10706120704076137
MATS7c,-0.1215028824397918
MATS7d,-0.003400158968471239
MATS7i,-0.10113977209476817
MATS7m,-0.10682986544774022
MATS7p,-0.1050237824637694
MATS7s,-0.07270366328563727
MATS7v,-0.10224293492173474
MATS8Z,-0.00047322540473228563
MATS8c,-0.02855652489761284
MATS8d,0.0685502958579882
MATS8i,0.0885028474060804
MATS8m,0.00160812307886463
MATS8p,0.09622406963315515
MATS8s,-0.0004927957328243644
MATS8v,0.061013783606892295
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,3
NssNH2,0
NsssAs,0
NsssCH,4
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,8
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,39.45707168176348
SpAD_D,371.3392015023246
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,1.8672546611237084
SssNH2,0
SsssAs,0
SsssCH,-1.7207694307484462
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,842
TMWC10,141.03654805667853
TSRW10,80.30291691075074
VE1_Dt,5.475559357307241
VE2_Dt,0.176630947009911
VE3_Dt,2.8316965476933214
VR1_Dt,196.38639396987935
VR2_Dt,6.335044966770302
VR3_Dt,6.4114862278725875
Xc-3dv,1.141805078297099
Xc-4dv,0.0
Xc-5dv,0.24532556109508533
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.11785113019775792
Xch-6d,0.2874574785652648
Xch-7d,0.514138360881016
Xp-0dv,18.64413177153708
Xp-1dv,10.898781198595833
Xp-2dv,8.4462572019805
Xp-3dv,5.9428088528811385
Xp-4dv,3.9550826771110605
Xp-5dv,2.4786745317693573
Xp-6dv,1.4981637148890479
Xp-7dv,0.8616406330248797
Xpc-4d,5.45132732330588
Xpc-5d,8.19481504586364
Xpc-6d,12.168042890431494
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,2
n7Ring,0
n8Ring,0
n9Ring,0
nARing,1
nBonds,65
nFRing,1
nHBAcc,4
nHBDon,3
nHRing,1
nSpiro,0
naRing,2
piPC10,6.655789690081449
AATS0dv,6.222222222222222
AATS0pe,6.08582857142857
AATS0se,7.568649587301584
AATS1dv,5.938461538461539
AATS1pe,6.390623076923077
AATS1se,7.6713365538461495
AATS2dv,4.6581196581196584
AATS2pe,6.223647863247863
AATS2se,7.608132444444443
AATS3dv,3.74375
AATS3pe,6.173850625
AATS3se,7.633513949999998
AATS4dv,3.293103448275862
AATS4pe,6.232419540229882
AATS4se,7.736306528735631
AATS5dv,3.302325581395349
AATS5pe,6.330441279069769
AATS5se,7.844988604651161
AATS6dv,2.8160919540229883
AATS6pe,6.130120114942529
AATS6se,7.614214896551721
AATS7dv,2.144278606965174
AATS7pe,5.993300995024873
AATS7se,7.5271819900497485
AATS8dv,1.955
AATS8pe,5.8759535
AATS8se,7.466268679999996
AATSC0Z,7.283446712018138
AATSC0c,0.016220077539151154
AATSC0d,0.5961199294532625
AATSC0i,1.4487040159176126
AATSC0m,34.70814701133785
AATSC0p,0.2230317307478477
AATSC0s,1.6427451639091841
AATSC0v,50.047857591362394
AATSC1Z,0.2366998081283791
AATSC1c,-0.009901570932840746
AATSC1d,0.255650522317189
AATSC1i,-0.18428255580163155
AATSC1m,1.1368055132042618
AATSC1p,-0.004189161214625863
AATSC1s,-0.0652251530558409
AATSC1v,0.4894780970780678
AATSC2Z,0.5452061166346881
AATSC2c,-0.0004039322568403294
AATSC2d,-0.0009496676163343056
AATSC2i,-0.04840015687442876
AATSC2m,2.526852703354849
AATSC2p,0.0006513265459403846
AATSC2s,0.08159119931606704
AATSC2v,1.098726796701308
AATSC3Z,0.18649376417233565
AATSC3c,0.004393535158679146
AATSC3d,-0.030246913580246927
AATSC3i,0.07781044077072193
AATSC3m,0.821236420209752
AATSC3p,-0.0049325282153111225
AATSC3s,-0.004021618935640114
AATSC3v,-0.717435143544123
AATSC4Z,-0.08777074048010011
AATSC4c,-0.003965935423110103
AATSC4d,-0.013835674755214992
AATSC4i,-0.0930631296411993
AATSC4m,-0.3569994456564224
AATSC4p,-0.004765470490941871
AATSC4s,-0.20002130978686353
