DLiP-ID,T007XH
DLiP-Mol-ID,26265
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H27N3O5/c1-34-17-12-16-10-11-29-24(23(16)22(14-17)35-2)20-8-5-9-21(26(29)32)30(20)27(33)25(31)19-13-15-6-3-4-7-18(15)28-19/h3-4,6-7,12-14,20-21,24,28H,5,8-11H2,1-2H3"
Standard Inchi Key(RDKit),ZEEBNGDATDEKFQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2c(c(OC)c1)C1C3CCCC(C(=O)N1CC2)N3C(=O)C(=O)c1cc2ccccc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),473.529
MW Monoisotopic(RDKit),473.195070964
MolLogP(RDKit),3.2571
XLogP(SDF),
XLogP(CDK),3.375
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.46398326456216
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,168228793.1005416
qed,0.4639832645621596
Chi0,24.2668557556426
Chi1,17.011570350697113
TPSA,91.94
Chi0n,19.744705241148232
Chi0v,19.744705241148232
Chi1n,12.01528998864813
Chi1v,12.01528998864813
Chi2n,9.45478498303209
Chi2v,9.45478498303209
Chi3n,7.716937180285098
Chi3v,7.716937180285098
Chi4n,6.162617685009495
