DLiP-ID,P0008W
DLiP-Mol-ID,24081
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H29N3O3S/c1-15(2)28(26,27)22-11-7-13-24-17-9-4-3-8-16(17)20-19(25)14-23-12-6-5-10-18(23)21(20)24/h3-4,8-9,15,18,22H,5-7,10-14H2,1-2H3/t18-/m0/s1"
Standard Inchi Key(RDKit),LICJTIDRHJECTD-SFHVURJKSA-N
Canonical SMILES(RDKit),CC(C)S(=O)(=O)NCCCn1c2c(c3ccccc31)C(=O)CN1CCCC[C@@H]21
SMILES(SDF),
MW(SDF),
MW(RDKit),403.548
MW Monoisotopic(RDKit),403.192962788
MolLogP(RDKit),3.0825
XLogP(SDF),
XLogP(CDK),2.998
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.752664057096274
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,ZIPA/FTSZ
Common Target Pref Name,ZIPA/FTSZ
RDKit Descriptors
Ipc,2703107.9683352476
qed,0.7526640570962739
Chi0,19.88854057813175
Chi1,13.398684032670674
TPSA,71.41
Chi0n,16.64837621748551
Chi0v,17.464872798413232
Chi1n,10.267460681304446
Chi1v,11.813780159226006
Chi2n,8.175914325441697
Chi2v,10.497417038295119
Chi3n,6.048297419477423
Chi3v,7.8959953714820665
Chi4n,4.575242714673727
Chi4v,5.337431412168889
MolMR,111.10900000000005
MolWt,403.5480000000003
