DLiP-ID,I000KC
DLiP-Mol-ID,28530
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24FN3O3/c1-15(2)20-14-27(11-12-28(20)23(30)16-7-4-3-5-8-16)24(31)22(29)17-13-26-19-10-6-9-18(25)21(17)19/h3-10,13,15,20,26H,11-12,14H2,1-2H3/t20-/m0/s1"
Standard Inchi Key(RDKit),JQDOTZVNBIPURF-FQEVSTJZSA-N
Canonical SMILES(RDKit),CC(C)[C@@H]1CN(C(=O)C(=O)c2c[nH]c3cccc(F)c23)CCN1C(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),421.472
MW Monoisotopic(RDKit),421.180169848
MolLogP(RDKit),3.4989
XLogP(SDF),
XLogP(CDK),4.108
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.517679172319345
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,13423802.541706027
qed,0.5176791723193452
Chi0,22.120591385700624
Chi1,14.879917853109722
TPSA,73.48
Chi0n,17.46930984004626
Chi0v,17.46930984004626
Chi1n,10.33378342524337
Chi1v,10.33378342524337
Chi2n,8.120975574754429
Chi2v,8.120975574754429
Chi3n,5.850782662938989
Chi3v,5.850782662938989
Chi4n,4.1419190109850135
Chi4v,4.1419190109850135
MolMR,115.27170000000002
MolWt,421.47200000000026
fr_SH,0
Kappa1,20.779084561355894
Kappa2,8.33547499544417
Kappa3,3.830237765151326
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1139.436850724111
MolLogP,3.4989000000000026
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5492603823303706
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,5.917906046161393
SMR_VSA5,19.88931522852921
SMR_VSA6,19.634269217737724
SMR_VSA7,71.67190394374585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.1926813122116
NHOHCount,1
PEOE_VSA1,14.783797982648164
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,38.112942673227685
PEOE_VSA7,30.183374320007832
PEOE_VSA8,42.297489213128856
PEOE_VSA9,11.605292320844956
RingCount,4
SMR_VSA10,28.500529337149008
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,421.180169848
NumHDonors,1
PEOE_VSA10,5.817220841045895
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.59760440506795
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,58.0575124346018
SlogP_VSA3,4.794537184071822
SlogP_VSA4,11.735126887207288
SlogP_VSA5,34.56345175091888
SlogP_VSA6,54.727780119305955
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.507645516762338
EState_VSA2,41.9061151226478
EState_VSA3,17.62490861522583
EState_VSA4,0.0
EState_VSA5,17.163120370925164
