DLiP-ID,C000UR
DLiP-Mol-ID,31408
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H16FN3OS/c1-27(26)18-8-4-16(5-9-18)21-24-19(14-2-6-17(22)7-3-14)20(25-21)15-10-12-23-13-11-15/h2-13H,1H3,(H,24,25)"
Standard Inchi Key(RDKit),CDMGBJANTYXAIV-UHFFFAOYSA-N
Canonical SMILES(RDKit),C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),377.444
MW Monoisotopic(RDKit),377.099811352
MolLogP(RDKit),4.6822
XLogP(SDF),
XLogP(CDK),3.686
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),64.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.525196404145831
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2451995.3779790034
qed,0.5251964041458315
Chi0,18.802754140504845
Chi1,13.114193540729627
TPSA,64.63
Chi0n,14.517091475212382
Chi0v,15.333588056140108
Chi1n,8.318384059809485
Chi1v,9.876462264534409
Chi2n,6.0303002895227875
Chi2v,7.409953100777682
Chi3n,4.250146855064871
Chi3v,5.186166992561684
Chi4n,2.8585331100159954
Chi4v,3.3778925115909684
MolMR,104.98109999999998
MolWt,377.444
fr_SH,0
Kappa1,17.45364097895732
Kappa2,7.343211502284332
Kappa3,3.62549169754919
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1045.2491145465863
MolLogP,4.6822000000000035
NOCount,4
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.8322364868083345
SMR_VSA1,8.943164921365184
SMR_VSA2,0.0
SMR_VSA3,14.951935562841626
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,6.255769183511404
SMR_VSA7,78.87457866888816
SMR_VSA8,0.0
SMR_VSA9,33.90261496278784
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
