DLiP-ID,C1029D
DLiP-Mol-ID,40325
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H11NOS2/c1-10(8)5-3-2-4-7-6-9/h2-5H2,1H3"
Standard Inchi Key(RDKit),SUVMJBTUFCVSAD-UHFFFAOYSA-N
Canonical SMILES(RDKit),C[S+]([O-])CCCCN=C=S
SMILES(SDF),
MW(SDF),
MW(RDKit),177.294
MW Monoisotopic(RDKit),177.028205972
MolLogP(RDKit),1.2479
XLogP(SDF),
XLogP(CDK),1.107
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),35.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.274068302715906
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,142.19516056908168
qed,0.27406830271590615
Chi0,7.819990956308912
Chi1,4.7700556100296625
TPSA,35.42
Chi0n,6.0003855916377375
Chi0v,7.63337875349319
Chi1n,3.1075488007240915
Chi1v,5.242977274638639
Chi2n,1.9574316315536422
Chi2v,3.694639970771034
Chi3n,1.0162620501828699
Chi3v,2.0089515867817926
Chi4n,0.5418290918502139
Chi4v,1.2437665947922436
MolMR,48.06040000000003
MolWt,177.294
fr_SH,0
Kappa1,10.11
Kappa2,7.219769484083424
Kappa3,8.109999999999998
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,120.91622381280227
MolLogP,1.2479
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.9754416659999094
SMR_VSA1,4.552749873690364
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,4.992404732635669
SMR_VSA5,12.841643245852019
SMR_VSA6,18.55337919617077
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,69.91245534846037
NHOHCount,0
PEOE_VSA1,4.552749873690364
PEOE_VSA2,0.0
PEOE_VSA3,4.992404732635669
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.175854473385288
PEOE_VSA7,25.059516688898714
PEOE_VSA8,6.544756405912575
PEOE_VSA9,11.417031035636953
RingCount,0
SMR_VSA10,28.55498976855753
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,177.028205972
NumHDonors,0
PEOE_VSA10,5.752853606746789
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,28.26739092198668
SlogP_VSA3,11.175854473385288
SlogP_VSA4,0.0
SlogP_VSA5,12.841643245852019
SlogP_VSA6,4.992404732635669
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.175854473385288
EState_VSA2,0.0
EState_VSA3,0.0
EState_VSA4,25.139253258511385
EState_VSA5,0.0
EState_VSA6,6.255769183511404
EState_VSA7,0.0
EState_VSA8,22.37154002780791
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,12.217873443046695
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,10.520736305324599
