DLiP-ID,I0001A
DLiP-Mol-ID,27719
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H25N3O2S/c1-17(26)24(29)28-25-27-22(23(31-25)14-18-8-3-2-4-9-18)16-30-15-20-12-7-11-19-10-5-6-13-21(19)20/h2-13,17H,14-16,26H2,1H3,(H,27,28,29)/t17-/m0/s1"
Standard Inchi Key(RDKit),APEYWYOETFXHMU-KRWDZBQOSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc(COCc2cccc3ccccc23)c(Cc2ccccc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),431.561
MW Monoisotopic(RDKit),431.16674804
MolLogP(RDKit),4.8896
XLogP(SDF),
XLogP(CDK),3.658
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),77.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.416405972612514
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,15619668.012653263
qed,0.41640597261251444
Chi0,21.63118126525103
Chi1,15.097356788324023
TPSA,77.24000000000001
Chi0n,17.376182579105954
Chi0v,18.19267916003368
Chi1n,10.232559407445125
Chi1v,11.049055988372851
Chi2n,7.460261067310868
Chi2v,8.543882823436533
Chi3n,5.005730184729173
Chi3v,6.018790383221873
Chi4n,3.364200101267673
Chi4v,4.366270165528238
MolMR,126.08210000000003
MolWt,431.56100000000015
fr_SH,0
Kappa1,21.182682941606853
Kappa2,9.831356728954667
Kappa3,5.354828493013545
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1166.5893979015523
MolLogP,4.889600000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.508615829044029
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,32.600163580790436
SMR_VSA6,5.316788604006331
SMR_VSA7,94.4943829934831
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,185.4417402112693
NHOHCount,3
