DLiP-ID,J0001K
DLiP-Mol-ID,26741
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26F3N5O/c25-24(26,27)19-7-4-8-20(13-19)30-23(33)32(15-18-5-2-1-3-6-18)22-9-11-31(12-10-22)16-21-14-28-17-29-21/h1-8,13-14,17,22H,9-12,15-16H2,(H,28,29)(H,30,33)"
Standard Inchi Key(RDKit),MAHQZXCIMKJDNJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cccc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(Cc2cnc[nH]2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),457.5
MW Monoisotopic(RDKit),457.208945112
MolLogP(RDKit),5.1272
XLogP(SDF),
XLogP(CDK),3.749
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),64.26
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.53966190233974
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,36023766.64956613
qed,0.5396619023397399
Chi0,23.26093777724795
Chi1,15.881161298800642
TPSA,64.26
Chi0n,18.054626413386213
Chi0v,18.054626413386213
Chi1n,10.867189824677363
Chi1v,10.867189824677363
Chi2n,8.206383893297048
Chi2v,8.206383893297048
Chi3n,5.844450766855091
Chi3v,5.844450766855091
Chi4n,4.116577602473795
Chi4v,4.116577602473795
MolMR,119.33440000000004
MolWt,457.5000000000002
fr_SH,0
Kappa1,22.849392781362894
Kappa2,10.077908465076884
Kappa3,6.131600084117377
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1031.7630706747425
MolLogP,5.1272000000000055
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,1
BalabanJ,1.4602509718837258
SMR_VSA1,17.96578232709628
SMR_VSA2,0.0
SMR_VSA3,19.76777650359537
SMR_VSA4,0.0
SMR_VSA5,38.14929540426861
SMR_VSA6,18.406301415831482
SMR_VSA7,83.94229824077456
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,189.98070564246333
NHOHCount,2
PEOE_VSA1,15.200676855804016
PEOE_VSA2,4.899909730850478
PEOE_VSA3,9.77851570501903
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,36.60419594293384
