DLiP-ID,J000EL
DLiP-Mol-ID,27274
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H26Cl2N4O2/c26-20-5-3-17(12-21(20)27)13-25(32)28-15-19-14-18(22-16-31-7-1-2-24(31)29-22)4-6-23(19)30-8-10-33-11-9-30/h3-6,12,14,16H,1-2,7-11,13,15H2,(H,28,32)"
Standard Inchi Key(RDKit),OIGLFJGNJOWHFL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cc(-c2cn3c(n2)CCC3)ccc1N1CCOCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),485.415
MW Monoisotopic(RDKit),484.143281432
MolLogP(RDKit),4.4986
XLogP(SDF),
XLogP(CDK),4.844
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.39
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.558930707999591
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,56670600.76348838
qed,0.5589307079995907
Chi0,22.785881803630282
Chi1,16.063683283512805
TPSA,59.39
Chi0n,18.319479228452362
Chi0v,19.831337120489266
Chi1n,11.293258097214725
Chi1v,12.04918704323318
Chi2n,8.48419837879504
Chi2v,9.298598632276251
Chi3n,6.21030107153175
Chi3v,6.949330350269763
Chi4n,4.484446776213634
Chi4v,4.805135160258289
MolMR,131.02870000000001
MolWt,485.4150000000004
fr_SH,0
Kappa1,22.262033799649615
Kappa2,9.754259605028281
Kappa3,5.029364759916139
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1149.7087618032447
MolLogP,4.498600000000003
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
